Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity consumption (kWh/a),CEPT heat consumption (kWh/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a)
1094,451,2.3006548,2447.0,338.86,28.15,96.32,12.17,95.9,13.08,34.04,1.23,59.27,30.06,6.62,2.81,0.56,1.80232371,AO,41.5355,111.68903,11238.52,11238.52,4.293661202185793,84.715,50.3795,1.6815371331593207,153088.9477532464,243874.25397900888,1036.8380680765088,1892131.3626316304,37068.15527018865,209572.79,239511.76
1095,461,0.444898,205.0,104.99,17.56,40.58,4.14,107.73,12.52,19.46,2.63,24.57,13.19,3.05,0.69,0.45,5.146974723,AO,41.908296,123.719582,9807.41,9807.41,8.203797814,26.2475,20.8845,1.256793315616845,12472.3531718035,52977.68781462361,206.3201253521236,298543.8825790425,6436.901166836394,17074.16,19513.33
1096,466,1.455602,108.7,91.06,9.91,34.83,7.3,104.88,6.53,23.46,1.34,29.23,8.78,1.49,0.21,0.33,4.066543438,AO,42.12055,123.50899,9807.41,9807.41,8.203797814,22.765,24.8455,0.9162625022639914,35024.50627769025,168745.1148276384,670.4456366651384,735857.6641793029,20916.97207717783,47947.18,54796.78
1097,467,4.78202,1455.0,154.06,30.13,128.41,2.86,106.78,6.59,23.94,6.38,34.71,11.09,2.37,0.13,0.41,3.308319212,AO,41.95218,123.51463,9807.41,9807.41,8.203797814,38.515,29.5035,1.305438337824326,424215.1144281175,564413.2378305041,2212.626093705504,2945107.14821411,69030.85901115181,580733.91,663695.9
1098,482,11.1396812,8728.14,288.7,21.74,123.82,5.76,141.19,7.0,39.2,0.57,52.9,12.47,4.91,0.27,0.28,1.048846269,AO,39.0867035,121.9099426,8277.14,8277.14,12.384863387978143,72.175,44.964999999999996,1.605137329033693,952882.7516526391,1738491.5613740736,5577.991555976574,4872539.824426631,146872.0206815207,1304459.25,1490810.57
1099,525,6.5296112,7457.21,283.33,12.14,187.52,7.01,145.19,0.43,38.41,0.1,49.76,10.67,4.36,0.09,0.46,1.696227737,AO,41.865397,123.970982,9807.41,9807.41,8.203797814,70.8325,42.296,1.6746855494609418,845884.0200142976,1047900.1780364834,3298.4531083264833,4477052.80553493,102907.15278262767,1157982.17,1323408.19
1100,538,5.20556,4304.1,277.07,29.27,118.74,7.77,119.03,8.15,27.78,2.13,42.9,12.74,4.74,0.51,0.31,1.251008878,AO,41.5844,121.80709,9459.08,9459.079999999998,9.155519126,69.2675,36.464999999999996,1.899561223090635,427012.31974880997,684888.346568312,2479.082204818312,2489685.2913163668,74596.8936454815,584563.18,668072.2
1101,541,2.0193808,1940.71,138.29,14.07,107.57,3.34,113.63,3.2,29.42,0.25,33.86,5.26,4.18,0.36,0.4,3.220093383,AO,40.919973,121.396468,9076.34,9076.34,10.201256830601093,34.5725,28.781,1.2012265035961225,150067.0326964894,253633.79269762337,949.6512488076233,1216143.0494853526,27419.265474291326,205435.9,234783.89
1102,550,26.33188,15394.74,231.12,15.05,79.37,3.07,57.34,3.86,24.21,0.36,37.23,8.82,3.02,0.19,0.28,1.295876336,AO,40.6662899,122.20646,9143.44,9143.44,10.01792349726776,57.78,31.645499999999995,1.8258520168744374,1443823.650365815,1668919.7049157287,10744.695869665728,11468856.361683315,312524.92752709443,1976538.15,2258900.74
1103,555,0.6318348,67.07,123.3,15.02,75.82,12.03,89.4,7.9,25.56,2.25,29.08,11.46,2.45,0.61,0.39,3.601773181,AO,41.7830599,121.41614,9701.67,9701.67,8.492704918032787,30.825,24.717999999999996,1.2470669147989322,33095.0640657639,62436.269638180805,280.20998036068085,371464.03362101363,8647.90707571771,45305.85,51778.11
