Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,Annual HDD,Annual average temperature
14,77.7213276,107172.61,578.98,13.13,281.18,1.03,330.11,2.5,35.61,0.37,51.62,9.19,8.69,0.11,0.45,A2O,40.057896,116.462308,8213.33,12.55920765
15,26.9301936,33365.79,429.33,20.13,202.71,2.96,284.32,3.21,43.63,0.31,51.56,14.57,5.35,0.32,0.23,A2O,39.839826,116.308629,8213.33,12.55920765
16,18.0582976,10267.06,224.08,13.47,88.39,1.3,107.86,3.1,28.6,0.23,33.31,11.11,3.61,0.2,0.46,AO,40.0921499,116.21585,8213.33,12.55920765
17,3.3533508,3397,366.73,18.45,128.18,7.7,131.82,8.15,76.32,0.98,79.27,9.24,6.79,0.23,0.34,CAS,40.33191,116.82716,8716.09,11.18554645
20,3.3562468,2880.76,251.44,7.92,101.34,4.06,100.99,6.58,16.89,0.79,27.95,8.4,1.82,0.3,0.4,A2O,39.750652,116.19926,8213.33,12.55920765
21,27.6568,22436.53,170.47,17.49,57.63,1.29,165.5,5.28,17.43,0.57,22.1,10.35,2.26,0.25,0.23,OD,40.033827,116.630067,8070.85,12.94849727
22,12.6952676,8894.79,113.65,10.03,37.61,2.52,178.02,3.88,19.94,0.46,28.28,8.11,2.94,0.18,0.58,A2O,39.793176,116.189968,8213.33,12.55920765
23,9.9463844,14938.46,273.01,12.2,185.67,2.33,119.33,3.04,37.41,0.23,45.01,6.37,5.35,0.09,0.72,A2O,40.4588,115.98456,9150.03,9.999918033
24,3.9799728,5895.79,339.59,18.31,127,4.72,151.42,4.38,43.2,0.45,52.81,8.12,5.23,0.19,0.57,OD,40.02847,116.44219,8213.33,12.55920765
26,1.6799696,52.4,77.02,12.44,42.62,5.02,74.1,4.82,9.4,1.71,12.42,7.73,1.33,0.34,0.33,OD,40.053196,117.008316,8070.85,12.94849727
27,17.5208,26780.36,416.35,13.99,250.94,3.5,419.91,4.31,28.76,0.23,39.12,8.63,2.93,0.15,0.65,Other,40.131559,117.088839,8070.85,12.94849727
28,1.1705632,566.56,263.67,16.21,105.23,5.91,110.49,6.09,6.85,0.27,17.28,3.43,3.3,0.53,0.34,CAS,39.83273,116.24187,8213.33,12.55920765
29,5.43,3114,148.06,17.7,65.62,8.76,110.14,4.17,15.06,2.89,19.75,8.61,1.6,0.38,0.21,A2O,40.0587899,116.5764355,8070.85,12.94849727
30,5.8614316,13576.53,126.69,22.24,30.3,4.75,33.74,4.2,19.03,0.95,40.05,12.07,3.31,0.11,0.76,A2O,40.120122,116.609856,8070.85,12.94849727
31,5.8239284,6998,205.25,19.4,60.59,4.81,196.64,6.4,24.84,0.47,31.56,9.58,3.25,0.24,0.19,A2O,40.14796,116.55095,8213.33,12.55920765
32,6.59564,3470.4,247.77,10.66,154.93,3.66,172.78,3.25,28.67,0.37,32.26,11.16,4.61,0.01,0.35,OD,40.06319,116.57031,8070.85,12.94849727
33,10.5704,10232.71,193.83,13.15,93.1,2.78,134.78,4.53,26.88,0.25,33.8,4.11,3.15,0.1,0.51,A2O,39.915848,116.728973,8070.85,12.94849727
34,2.2806724,129.91,72.04,18.7,36.66,5.18,45.47,10.89,14.67,2.27,20.02,11.25,1.93,0.47,0.27,A2O,39.83269,116.65978,8070.85,12.94849727
35,47.5668,94547,359.02,17.69,203.06,2,548.27,1,14.3,0.12,32.3,9.64,5.94,0.06,0.72,A2O,39.869156,116.699706,8070.85,12.94849727
38,19.4396172,13901.75,185.36,12.39,89.8,1.7,88.77,3.58,20.27,0.22,22.74,7.76,3.83,0.07,0.21,A2O,39.71863,115.96932,7792.13,13.71002732
39,13.5306188,10951.48,150.6,10.26,50.18,2.5,46.32,1.96,20.11,0.31,23.92,7.55,2.74,0.29,0.13,SBR,39.78248,116.58176,8070.85,12.94849727
40,2.2937044,1771,115.15,14.76,66.18,6.26,88.53,5.8,15.78,0.18,29.81,6.03,1.98,0.17,0.51,A2O,40.30054,116.68359,8716.09,11.18554645
42,23.9570152,55850,442.49,22.86,183.48,6.22,337.25,7.74,44.03,0.99,59.61,8.79,6.21,0.2,0.48,CAS,39.690931,116.172916,7792.13,13.71002732
45,18.1898484,18157.77,205.51,16.37,94.48,1.17,165.55,2.73,28.96,0.35,42.46,8.74,3.01,0.13,0.4,CAS,39.6716399,116.36177,7792.13,13.71002732
47,4.5491092,4020.13,210.46,12.72,88.58,1.33,175.22,2.91,35.14,0.19,39.01,9.48,4.44,0.2,0.74,A2O,40.1655745,116.217768,8213.33,12.55920765
48,4.3748424,1843.57,166.28,43.81,77.71,13.25,85.12,12.84,17.57,0.93,23.68,8.02,2.31,0.4,0.26,OD,40.1776,116.39977,8213.33,12.55920765
49,0.116202,83.7,169.3,35.27,57.11,8.56,74.15,7.06,21.4,1.19,25.01,11.52,2.7,0.32,0.4,A2O,39.915848,116.728973,8070.85,12.94849727
50,4.4042368,2127.72,250.43,14.31,108.37,2.62,308.79,2.17,13.59,0.42,14.36,7.94,3.04,0.26,0.35,CAS,39.721099,116.594543,7996.75,13.15095628
51,1.6822864,1031.1,238.16,21.14,94.51,6.17,164.49,11.52,28.74,0.85,32.45,13.78,2.39,0.6,0.22,OD,39.832494,116.652002,8070.85,12.94849727
52,0.338108,0.33,147.22,18.42,60.65,4.92,114.82,8.17,13.92,2.02,16.56,4.4,1.59,0.66,0.1,SBR,39.709424,116.796586,7996.75,13.15095628
53,0.9995544,512.5,179.83,12.46,129.02,6.26,128.28,6,27.87,1.58,36.05,10.88,2.18,0.3,0.59,SBR,39.67435,116.723457,7996.75,13.15095628
54,0.1728188,0.28,130.61,34.82,13.03,6.19,14.48,7.36,11.97,2.59,16.47,8.38,3.6,0.28,0.38,A2O,39.74288,116.34033,7792.13,13.71002732
55,1.4377916,706,183.53,13.76,83.61,6.49,94.11,4.81,21.1,0.09,30.13,8.8,3.09,0.22,0.42,A2O,39.653165,116.666085,7996.75,13.15095628
56,35.37464,37962.98,300.51,19.87,116.31,0.92,122.67,2.34,30.83,0.26,41.67,7.85,4.25,0.1,0.44,A2O,39.0031999,117.71071,7835.25,13.59221311
57,3.793036,5230,279.56,13.69,136.34,5.08,205.01,8.71,22.87,0.41,30.01,10.47,3.13,0.22,0.43,OD,39.013233,117.571686,7835.25,13.59221311
59,12.4166,21443.67,276.24,13.74,108.05,2.56,106.94,2.27,26.02,0.15,33.47,6.78,4.33,0.22,0.4,A2O,39.14588,117.42336,7835.25,13.59221311
60,2.108288,1091.3,236.33,16.26,103.17,5.56,106.68,6.19,44.9,0.46,49.53,10.05,4.16,0.09,0.59,A2O,38.955388,117.715952,7835.25,13.59221311
61,1.1185076,405.53,250.01,42.36,113.79,8.78,103.33,6.73,29.4,3.42,35.36,13.21,2.28,0.46,0.16,A2O,38.827667,117.462164,7835.25,13.59221311
62,21.8989004,11593.44,175.63,22.96,64.72,3.5,167.62,3.67,27.27,0.88,37.4,6.61,3.62,0.29,0.44,Other,39.151843,117.736636,7835.25,13.59221311
63,3.9814932,3070.24,359.73,27.91,159.46,7.34,89.07,6.53,26.72,2.3,40.83,11.71,2.83,0.35,0.52,A2O,38.85103,117.45906,7835.25,13.59221311
65,26.1916412,18032.72,211.46,20.06,94.01,2.2,125.68,1.99,21.27,0.39,27.98,6.86,2.64,0.09,0.21,CAS,39.07117,117.71749,7835.25,13.59221311
66,7.94952,1547.7,205.78,24.85,89.49,7.75,195.73,7.71,21.32,1.5,30.66,8.6,2.84,0.16,0.33,A2O,39.0031999,117.71071,7835.25,13.59221311
67,2.265396,4634,386.2,37.9,205.63,12.39,208.43,16.15,54.74,4.14,73.12,21.67,6.27,1.02,0.65,A2O,38.955388,117.715952,7835.25,13.59221311
68,2.0747668,440.5,199.41,16.01,69.06,3.5,148.6,5.75,16.85,0.71,35.62,6.2,9.41,0.48,0.24,CAS,39.0031999,117.71071,7835.25,13.59221311
69,15.21848,25741.1,387.22,17.61,169.75,3.09,249.57,4.46,46.97,0.46,64.14,7.57,6.71,0.6,0.25,OD,39.038721,117.6511217,7835.25,13.59221311
70,10.819094,7859.9,173.84,18.76,73.32,3.2,95.57,4,20.89,0.3,27.81,7.38,2.87,0.09,0.37,A2O,39.290813,117.228324,8049.47,13.00691257
71,28.9692672,37970.05,748.6,18.32,320.73,4.48,581.68,2.67,30.2,0.61,64.28,7.09,13.59,0.16,0.44,Other,39.234636,117.1904376,7835.25,13.59221311
72,10.092198,23910.17,345.34,19.42,111.84,3.22,287.17,3.1,23.97,0.15,33.26,6.88,4.35,0.09,0.39,A2O,39.22748,117.03658,7860.05,13.52445355
73,76.03448,87829.14,250.8,35.74,83.11,1.9,130.25,6.07,22.55,0.54,31.5,12.64,3.94,0.21,0.12,A2O,39.10498,117.07694,7860.05,13.52445355
74,67.61436,46446.81,319.42,25.13,204.12,4.45,229.74,2.83,23.93,2.05,33.23,12.27,4.66,0.37,0.19,CAS,38.98934,117.11146,7860.05,13.52445355
75,156.033946,110190.83,209.3,14.34,78.1,2.76,107.54,5.27,19.96,0.23,23.52,9.69,3.29,0.22,0.24,SBR,38.9093029,117.3071289,7835.25,13.59221311
77,10.3001308,4750.2,134.16,9.6,42.6,3.53,136.01,5.66,14.56,0.67,19.08,8.8,2.96,0.22,0.17,A2O,38.961623,117.356792,7835.25,13.59221311
78,7.83006,12151,270.3,29.83,141.7,5.29,170.4,7.24,38.64,0.63,64.27,11.34,3.54,0.24,0.35,OD,38.96786,117.40334,7835.25,13.59221311
79,1.5057752,917.22,217.81,13.14,123.93,7.03,162.72,7.2,35.51,0.92,50.71,9.73,3.42,0.26,0.77,AO,39.038055,117.51825,7835.25,13.59221311
80,14.3789296,2168,159.74,13.56,59.41,5.06,108.53,5.83,15.31,1.35,19.83,6.38,1.95,0.23,0.25,OD,39.984904,117.405718,8236.76,12.49519126
81,2.6859676,2314.7,337.62,34.81,101.74,5.11,95.04,4.89,10.85,0.31,13.42,4.79,1.36,0.17,0.47,A2O,39.9084385,117.2826404,8236.76,12.49519126
82,9.6450556,11194.61,138.19,12.91,62.44,0.57,116.47,0.59,8.12,0.26,13.07,5.63,2.99,0.14,0.39,A2O,39.43851,117.01725,7996.75,13.15095628
83,0.8047984,1763.41,242.84,30.56,87.1,4.78,116.97,5.96,29.48,1.28,38.69,8.28,3.63,0.29,0.28,A2O,39.17232,116.93172,7860.05,13.52445355
84,1.020478,113.19,63.88,18.74,31.06,5.25,124.28,7.01,6.6,0.75,8.64,5.97,1.31,0.21,0.76,A2O,39.25817,116.95231,7996.75,13.15095628
85,0.9430824,1062.5,300.98,24.16,142.6,6.46,149.24,6.07,24.69,0.4,44.76,8.6,2.86,0.22,0.47,A2O,39.32506,117.07973,7996.75,13.15095628
86,1.3995644,1367.7,142.75,6.94,67.47,1.36,80.07,0.1,7.69,0.71,28.73,5.33,2.59,0.05,0.27,CAS,39.29507,117.00209,7996.75,13.15095628
88,1.2459316,432.24,203.25,25.77,96.65,8.7,95.31,12.69,25.72,1.84,28.43,12.38,2.19,0.63,0.25,Other,39.382254,117.201132,8049.47,13.00691257
89,0.5442308,51.3,109.76,17.17,43.5,5.33,104.59,15.77,14.11,1.47,24.11,13.85,1.36,0.17,0.6,OD,39.19341,117.0331,7860.05,13.52445355
90,3.9604972,7033.34,195.66,17.45,103.35,4.5,64.19,2.7,52.66,0.32,56.61,5.22,4.12,0.08,0.4,A2O,39.37269,117.0397,7996.75,13.15095628
91,4.6916648,7798.84,210.54,23.36,104.77,4.82,87.9,4,40.06,0.52,51.71,5.03,5.01,0.11,0.26,OD,39.132697,117.323903,7835.25,13.59221311
93,3.6197828,2897.54,196.95,18.29,95.7,2.47,114.26,3.62,33.74,0.37,40.11,10.76,4.93,0.17,0.47,SBR,39.0470373,116.9233516,7860.05,13.52445355
94,4.32228,7735.84,235.92,19.36,73.19,5.11,167.71,6.44,24.48,0.44,34.98,8.63,2.57,0.15,0.36,A2O,38.832931,117.064479,7860.05,13.52445355
96,0.5686296,9.1,56.5,14.38,18.38,3.96,21.1,6.41,7.29,2.17,16.89,8.83,0.81,0.27,0.18,CAS,39.241398,117.427414,7835.25,13.59221311
97,15.6874148,8813,192.41,19.97,108.44,2.39,196.08,1.83,22.69,1.05,27.91,7.27,2.45,0.04,0.38,Other,39.23895,117.77297,7835.25,13.59221311
98,2.3338864,608.32,110.94,13.76,53.45,3.2,115.62,0.95,24.28,0.18,27.38,8.07,2.99,0.2,0.49,A2O,39.3809099,117.7475699,8049.47,13.00691257
99,0.8524376,612,152.16,17.42,60.97,6.38,116.44,4.94,25.92,2.13,30.8,6.75,3.11,0.5,0.19,SBR,39.2991,117.41456,8049.47,13.00691257
101,2.3328728,43,160.7,13.92,44.63,6.64,22.61,4.7,15.54,0.62,20.12,7.09,2.07,0.26,0.55,CAS,39.512826,117.440606,8049.47,13.00691257
102,4.5417244,3236.02,112.63,11.11,51.3,2.69,120.8,1,27.55,0.32,30.76,7.47,3.22,0.22,0.5,OD,39.71776,117.31492,8049.47,13.00691257
103,9.680242,16662,208.55,23.39,101.16,4.34,103.79,5.67,32.03,0.29,47.1,11.43,6.52,0.24,0.41,AO,39.68923,117.30937,8049.47,13.00691257
104,15.21848,18518.77,229.87,17.92,101.82,3.25,114.15,2.86,29.72,0.8,39.67,7.96,4.8,0.21,0.26,AO,39.0031999,117.71071,7835.25,13.59221311
105,4.0544,1191.7,66.54,9.73,22.62,3.23,64.83,4.18,7.21,0.6,20.65,8.44,1,0.36,0.13,CAS,38.79998,117.46149,7835.25,13.59221311
106,6.2439208,1452.6,66.98,13.18,22.32,1.62,79.96,7.98,17.25,0.46,26.86,10.4,1.7,0.1,0.33,CAS,38.702719,115.47976,7509.2,14.48306011
107,7.5267764,5684.4,240.29,18.15,191.97,16.59,197.77,14.36,31.69,1.94,36.8,17.05,3.15,0.74,0.27,A2O,38.40632,115.34814,7509.2,14.48306011
108,2.10684,1251,132.8,27.66,21.56,5.37,99.52,18.62,12.61,3.42,19.38,4.7,1.86,0.39,0.31,OD,38.4184499,115.32664,7509.2,14.48306011
109,6.0342504,3349.76,359.03,11.6,142.62,3.01,141.31,5.5,12.9,0.23,23.86,3.8,1.97,0.17,0.42,OD,38.4572702,115.4660748,7509.2,14.48306011
110,6.6065,7439.3,347.48,28.53,100.54,7.14,105.34,7.42,25.49,0.87,45.45,8.7,4.52,0.2,0.55,CAS,39.2315499,115.77731,7616.84,14.18896175
111,2.3105012,596,132.79,13.99,66.55,4.51,83.3,5.86,25.13,0.55,30.88,9.04,1.87,0.13,0.32,A2O,38.83549,114.20005,8541.68,11.6620765
112,17.2078148,8395.01,152.68,17.78,69.95,5.65,123.05,6.53,28.58,0.75,34.11,9.23,2.2,0.16,0.29,A2O,39.310476,115.90814,8188.24,12.62775956
113,9.099232,2013.4,167.66,18.08,75.64,3.17,136.62,5.52,21.24,1.7,36.48,10.27,5.62,0.24,0.8,OD,38.2404,115.57972,7470.91,14.5876776
114,3.56208,1310.28,210.73,17.56,78.78,5.83,106.51,7.19,17.94,0.3,25.22,8.42,2.82,0.18,0.28,A2O,38.970838,115.852556,7616.84,14.18896175
115,6.0000776,3552.18,163.06,10.94,67.18,3.29,104.41,5.08,15.45,0.26,24.85,9.52,2.14,0.26,0.23,A2O,39.06955,116.68849,7860.05,13.52445355
116,1.9351796,1551,118.99,16.47,41.24,4.02,121.89,6.45,21.67,1.51,30.6,10.36,3.34,0.29,0.44,OD,39.1048399,116.71939,7860.05,13.52445355
117,1.9587096,4916,738.06,28.54,347.64,8.51,894.82,7.35,71.82,1.94,95.36,14.14,11.67,0.18,0.48,Other,39.141544,116.65224,7860.05,13.52445355
118,8.8857968,8309,265.83,26.77,26.76,3.59,245.06,7.09,21.97,0.42,23.54,9.83,0.96,0.18,0.39,A2O,40.3915999,115.53071,9854.99,8.073797814
119,7.952416,8932.44,203.13,17.45,32.91,4.06,159.95,6.25,25.69,0.54,30.43,9.32,5.86,0.14,0.47,CAS,39.0017,115.73074,7616.84,14.18896175
120,4.0087156,1496.4,165.24,18.76,63.12,7.61,36.06,7.17,12.62,1.67,20.02,4.98,0.97,0.22,0.29,A2O,39.01071,115.35203,7616.84,14.18896175
121,1.13668,593.6,184.91,17.72,86.06,8.59,119.8,11.99,33.49,1.19,43.93,11.98,2.91,0.54,0.37,SBR,39.06147,115.450482,7616.84,14.18896175
122,10.3532,9399.51,374.98,27.85,196.92,2.76,217.27,5.94,23.71,0.78,28.45,7.32,3.11,0.21,0.32,SBR,38.76755,115.4972,7616.84,14.18896175
123,19.5043428,8290.52,153.01,30.28,55.88,5.97,107.62,7.99,21.65,0.67,27.98,8.53,2.72,0.23,0.3,SBR,38.868338,115.552989,7616.84,14.18896175
124,8.2355724,2155.6,212.61,33.62,105.56,1.96,126.18,4.48,27.04,2.04,33.06,9.21,3.4,0.12,0.31,A2O,38.9489199,115.32217,7616.84,14.18896175
127,1.815792,1248.4,160.59,12.18,38.59,1.86,83.46,6.51,15.15,0.26,23.48,5.37,1.58,0.07,0.28,AO,38.30314,116.95942,7744.55,13.84002732
128,12.0908,151.49,80.9,25.25,21.08,7.83,91.34,8.17,10.1,0.58,33.68,9.61,1.68,0.27,0.41,A2O,38.3044099,116.83869,7744.55,13.84002732
129,1.65615,1956.5,339.71,21.86,159.45,7.39,98.9,7.8,68.05,0.85,86.25,12.38,5.41,0.29,0.55,SBR,38.57637,117.43797,7677.82,14.02234973
130,11.0038588,154.22,223.23,34.32,77.41,7.77,52.22,2.2,47.92,0.74,51.34,9.63,1.6,0.28,0.77,A2O,38.3044099,116.83869,7744.55,13.84002732
131,3.1406396,1512.61,198.71,16.72,78.39,3.73,111.55,4.34,45.65,0.91,54.37,7.41,6.4,0.13,0.2,A2O,36.45647,114.52114,7064.44,15.70161202
132,6.0092,12120.35,570.83,37.39,351.76,13.52,232.27,15.41,44.9,3.68,62.94,25.02,6.94,1.44,0.47,CAS,40.76487,118.17178,9722.95,8.434562842
133,10.69348,4321.46,144.75,18.25,51.99,3.85,189.13,6.99,12.88,1.77,29.06,7.54,1.45,0.35,0.35,A2O,40.96993,117.81299,9722.95,8.434562842
134,4.161552,6000,259.3,18.8,129.16,7.06,194.16,1.75,20.96,0.8,31.9,13.32,3.17,0.14,0.41,AO,41.3138099,117.73897,10346.94,6.729672131
135,3.6068232,752.28,125.58,11.26,45.03,4.9,102.31,8.93,14.22,3.46,15.76,5.8,1.45,0.34,0.22,A2O,41.318765,117.733102,10346.94,6.729672131
136,0.76744,103,122.84,13.94,39.84,3.75,38.13,3.85,23.98,0.23,37.06,9.38,3.33,0.23,0.69,CAS,40.5463999,117.6595499,9397.91,9.322650273
137,3.737288,1032.1,139.79,15.33,62.45,3.7,109.02,3.85,15.83,1.22,18.88,8.62,1.79,0.23,0.35,OD,40.8136699,118.06113,9722.95,8.434562842
139,7.37032,9859.93,428.08,16.17,187.02,5.64,293.03,3.5,52.04,0.46,60.29,10.62,5.11,0.16,0.48,A2O,36.3808099,114.38581,7064.44,15.70161202
140,5.2061392,2660.56,241.87,19.32,89.86,4.6,241.18,4.57,40.59,1.59,42.03,11.1,7.07,0.11,0.46,CAS,38.6992,116.63643,7744.55,13.84002732
141,4.7136744,4939.66,214.23,12.11,81.85,2.11,136.44,3.25,13.68,1.44,22.47,7.34,2.71,0.1,0.48,CAS,36.292649,115.154089,7054.92,15.72647541
142,6.1255468,15927.83,310.31,20.75,190.27,3.78,318.23,6.55,41.52,1.6,53.51,10,5.89,0.25,0.46,A2O,38.50012,115.04318,7569.12,14.31934426
143,7.434756,1903.28,230.3,24.33,136.14,5.92,168.65,5.96,30.44,2.32,37.43,9.72,2.02,0.15,0.4,OD,38.5162599,114.99025,7569.12,14.31934426
144,3.59104,3169.48,331.04,20.65,96.87,6.21,131.55,5.83,27.15,1.88,35.01,8.81,2.41,0.17,0.2,OD,37.94678,116.57551,7607.5,14.2145082
145,5.39018,4042,191.78,14.55,76.93,3.79,94.08,6.24,29.07,1.96,32.25,6.63,2.3,0.25,0.26,SBR,41.204921,116.646191,9658.01,8.611994536
146,3.3946188,1760,224.27,8.5,105.43,3.99,118.99,6.28,26.41,0.4,32.17,9.25,2.46,0.2,0.51,OD,36.42406,114.199463,7064.44,15.70161202
148,3.5608492,7073.15,250.9,15.65,104.03,4.78,300.35,4.46,49.19,0.48,57.52,10.35,5.02,0.12,0.4,CAS,38.73889,115.013532,7569.12,14.31934426
149,2.5491316,175,104.63,25.75,63.82,4.42,34.24,4.28,19.33,3.67,22.78,9.96,1.57,0.51,0.47,SBR,38.5320699,114.87572,7569.12,14.31934426
150,30.36456,26493.39,176.16,24.07,57.63,7.6,69.95,3.56,20.39,0.18,22.88,10.01,2.62,0.23,0.26,A2O,40.584949,115.090309,9950.47,7.812923497
153,12.20664,17624,238.77,13.4,119.03,5.55,128.21,4.22,32.88,0.79,41.5,10.46,4.46,0.2,0.47,A2O,39.513328,116.685903,7996.75,13.15095628
154,4.077568,2906,281.92,21.39,156.23,8.99,92.56,4.17,33.88,0.81,42.28,10.01,4.28,0.2,0.49,SBR,39.2876399,116.33915,7792.13,13.71002732
155,5.2852,8817.96,194.72,26.74,65.45,10.88,79.59,6.02,24.7,1.02,32.67,8.96,4.33,0.42,0.31,A2O,37.4182599,116.19925,7411.1,14.7510929
156,0.8733612,1.53,61.37,15.24,17.32,6.54,21.74,4.24,9.31,0.4,12.1,2.62,0.79,0.33,0.33,A2O,37.31187,115.80019,7334.99,14.96002732
157,2.8184596,2051.4,192.16,16.22,20.52,5.22,126.09,11.39,15.91,1.04,24.33,12.59,2.31,0.29,0.57,OD,36.4625911,114.9490077,7054.92,15.72647541
158,2.8836196,372.11,107.71,16.82,48.88,5.04,86.63,8.48,14.33,1.14,18.32,9.57,2.52,0.33,0.15,Other,36.4625911,114.9490077,7054.92,15.72647541
159,6.940264,586,145.79,13.38,52.47,5.92,165.26,6.42,22.27,2.7,35.93,7.18,2.17,0.23,0.19,OD,36.64574,114.53522,7064.44,15.70161202
160,1.0520444,433,217.31,15.81,105.05,6.07,67.13,7.3,24.4,0.79,43.53,9.27,3.37,0.29,0.52,A2O,36.481888,114.214838,7064.44,15.70161202
161,0.20272,29.68,88.02,13.02,17.33,7.41,17.25,7,3.93,0.33,9.32,5.27,0.64,0.16,0.35,A2O,36.195819,114.914584,7007.52,15.85519126
162,30.075684,11053,290.85,30.43,145.8,7.68,217.38,7.09,32.17,2.15,44.86,13.49,3.96,0.4,0.36,OD,38.60402,116.85369,7744.55,13.84002732
163,9.0892408,3249.3,260.05,25.64,98.97,7.85,177.79,7.31,26.63,0.28,30.29,9.18,4.61,0.24,0.37,OD,32.9907299,112.52851,6674.66,16.76322404
164,0.4075396,356.08,47.18,10.5,16.41,3.19,41.98,6.45,6.26,0.24,13.93,8.84,0.76,0.07,0.57,A2O,36.839499,114.649675,7236.75,15.22956284
165,1.3756,140.2,70.56,21.5,21.64,6.9,81.81,7.33,10.77,0.89,22,10.51,1.25,0.22,0.17,AO,36.805822,114.414613,7236.75,15.22956284
167,26.779312,17854.72,422.84,20.08,188.12,6.6,265.42,6.01,45.93,0.84,59.61,9.72,5.73,0.25,0.33,OD,36.592864,114.5394137,7064.44,15.70161202
168,0.9084028,608.11,157.54,12.05,55,4.52,180,4.73,19.93,0.31,28.48,9.02,2.56,0.22,0.35,CAS,38.4384799,114.55294,7604.3,14.22322404
169,4.7070136,5352.54,150.27,15.23,71.62,4.09,113.94,6.17,15.15,0.33,19.09,5.22,3.17,0.19,0.3,SBR,38.04399,115.07577,7380.27,14.83532787
170,1.4113656,551.49,88.8,17.04,72.34,6.94,105.63,11.12,14.16,2.18,19.65,7.15,2.73,0.46,0.29,OD,39.130043,116.327295,7781.5,13.73907104
173,17.6393912,22489.64,134.87,14.9,51.13,2.2,152.49,6.77,32.52,0.57,34.14,10.27,2.59,0.28,0.28,OD,38.140108,114.658672,7415.32,14.73956284
174,6.9838488,5043,289.11,35.33,181.16,15.54,132.05,14.07,19,2.32,30.87,11.13,3.62,0.67,0.34,A2O,37.98752,114.692814,7380.27,14.83532787
175,1.2339856,1920,303.62,28.64,276,13.15,290.16,14.02,66.41,2.93,74.85,11.93,5.88,0.43,0.57,CAS,38.531078,116.401606,7666.02,14.05459016
176,4.6663972,5794.87,119.99,8.82,63.14,2.32,197.33,5.67,15.17,0.42,21.49,9.59,2.44,0.28,0.25,CAS,37.848537,115.968953,7535.62,14.41087432
177,4.1494612,750,140.48,18.27,59.22,6.84,93.99,12.16,12.41,1.97,15.65,9.11,1.36,0.63,0.23,CAS,37.5508499,115.57938,7334.99,14.96002732
178,1.4359092,1653.5,198.94,21.59,105.16,6.33,109.17,6.36,32.31,2.46,38.56,10.25,3.08,0.22,0.47,A2O,37.7673,115.75778,7470.91,14.5876776
179,5.3100332,2251.79,182.95,18.72,45.62,5.3,44.77,6.45,18.01,0.8,26.24,7.42,3.23,0.15,0.29,A2O,37.7079499,115.6689,7334.99,14.96002732
