Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp
2327,420,4.8715064,2740.14,182.3,18.18,113.57,2.67,100.83,1.37,19.4,1.41,28.64,7.89,2.3,0.16,0.41,2.498172069,Other,46.8354549,122.6504553,11271.56,11271.559999999998,4.203387978142077
2328,422,3.3802836,1797.4,139.59,21.87,74.68,5.09,112.75,7.07,18.61,1.48,31.89,14,2.22,0.22,0.5,4.247366633,Other,42.32507,119.34898,9954.23,9954.23,7.802650273224045
2329,456,105.6412292,57735.51,195.65,22.8,64.58,6.25,178.49,6.27,25.35,3.65,46.14,14.2,4.43,0.41,0.3,1.735608909,Other,41.762003,123.36168,9673.74,9673.74,8.569016393442624
2330,458,3.7315684,1619.3,228,15.08,52.48,2.49,143.7,4.97,18.67,0.59,28.51,5.35,1.56,0.19,0.35,1.643809882,Other,41.79073,123.14961,9673.74,9673.74,8.569016393442624
2331,496,2.1889416,714,261.62,16.77,101.96,7.36,89.95,4.24,57.18,0.5,61.02,9,4.28,0.25,0.24,0.980191954,Other,39.39843,122.33874,8816.55,8816.55,10.911065573770491
2332,497,10.3532724,17916,297.8,32.27,98.53,7.53,250.12,13.57,33.2,1.51,45.35,14.37,4.68,0.76,0.25,0.9415132,Other,39.10628,121.70772,8277.14,8277.14,12.384863387978143
2333,524,24.5390388,14241.64,120.7,24.01,53.98,0.78,86.16,4.59,9.85,0.31,14.45,7.82,1.28,0.31,0.39,4.033509153,Other,41.83166,123.85671,9807.41,9807.41,8.203797814
2334,532,1.2233428,2116,185.38,22.23,112.56,10.2,203.92,15.48,39.26,4.03,42.92,11.11,4.67,0.33,0.56,3.43242415,Other,41.3395,123.820694,9819.6,9819.6,8.170491803278688
2335,565,12.07632,7722,243.02,27.32,132.49,5.06,177.59,7.76,18.36,1.22,33.17,7.8,2.13,0.23,0.25,1.159017153,Other,41.43896,123.28145,9484.72,9484.72,9.085464480874316
2336,616,0.26788,75,130.53,20.19,73.22,7.46,100,9.83,22.34,0.6,28.71,8.38,2.64,0.2,0.39,3.534529636,Other,43.8378399,126.54944,10593.11,10593.11,6.057076502732241
