,Province,Treated volume,Sludge yield,CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Electricity consumption,Treatment process
53 ,Beijing,1753.48 ,8894.79 ,113.65 ,10.03 ,37.61 ,2.52 ,178.02 ,3.88 ,19.94 ,0.46 ,28.28 ,8.11 ,2.94 ,0.18 ,0.58 ,A2O
54 ,Beijing,139.69 ,105.42 ,66.00 ,17.71 ,13.97 ,1.46 ,32.24 ,3.67 ,5.75 ,0.53 ,13.03 ,4.53 ,1.16 ,0.07 ,1.39 ,A2O
55 ,Beijing,628.33 ,4020.13 ,210.46 ,12.72 ,88.58 ,1.33 ,175.22 ,2.91 ,35.14 ,0.19 ,39.01 ,9.48 ,4.44 ,0.20 ,0.74 ,A2O
56 ,Beijing,809.59 ,13576.53 ,126.69 ,22.24 ,30.30 ,4.75 ,33.74 ,4.20 ,19.03 ,0.95 ,40.05 ,12.07 ,3.31 ,0.11 ,0.76 ,A2O
57 ,Beijing,3820.35 ,42034.00 ,338.96 ,15.31 ,142.57 ,1.67 ,206.20 ,1.83 ,37.99 ,0.55 ,49.45 ,10.09 ,6.96 ,0.17 ,0.72 ,A2O
58 ,Tianjin,15057.00 ,65878.21 ,543.97 ,21.22 ,254.60 ,3.17 ,254.16 ,3.42 ,36.31 ,1.98 ,79.13 ,12.92 ,17.59 ,0.38 ,0.23 ,AO
59 ,Tianjin,2100.00 ,18518.77 ,229.87 ,17.92 ,101.82 ,3.25 ,114.15 ,2.86 ,29.72 ,0.80 ,39.67 ,7.96 ,4.80 ,0.21 ,0.26 ,AO
60 ,Tianjin,1053.37 ,6374.44 ,248.58 ,20.69 ,90.32 ,2.38 ,96.09 ,5.04 ,33.40 ,0.28 ,43.07 ,9.02 ,3.77 ,0.20 ,0.34 ,AO
61 ,Tianjin,11988.84 ,79333.56 ,514.23 ,27.62 ,189.95 ,5.12 ,228.76 ,3.98 ,46.74 ,1.92 ,57.75 ,12.91 ,5.46 ,0.37 ,0.29 ,AO
62 ,Tianjin,1131.50 ,14038.81 ,365.59 ,17.15 ,152.10 ,2.67 ,119.72 ,4.00 ,25.58 ,0.42 ,35.50 ,7.67 ,2.01 ,0.06 ,0.39 ,AO
63 ,Tianjin,1065.35 ,13363.66 ,213.56 ,31.10 ,96.81 ,4.89 ,245.04 ,4.04 ,37.33 ,0.44 ,45.62 ,5.19 ,21.83 ,0.17 ,0.35 ,Other
64 ,Tianjin,3617.63 ,18032.72 ,211.46 ,20.06 ,94.01 ,2.20 ,125.68 ,1.99 ,21.27 ,0.39 ,27.98 ,6.86 ,2.64 ,0.09 ,0.21 ,CAS
65 ,Tianjin,4001.27 ,37970.05 ,748.60 ,18.32 ,320.73 ,4.48 ,581.68 ,2.67 ,30.20 ,0.61 ,64.28 ,7.09 ,13.59 ,0.16 ,0.44 ,Other
66 ,Tianjin,1330.34 ,4799.71 ,118.49 ,11.42 ,55.10 ,2.78 ,123.37 ,1.00 ,25.17 ,0.12 ,28.20 ,8.35 ,2.60 ,0.22 ,0.42 ,A2O
67 ,Tianjin,322.23 ,608.32 ,110.94 ,13.76 ,53.45 ,3.20 ,115.62 ,0.95 ,24.28 ,0.18 ,27.38 ,8.07 ,2.99 ,0.20 ,0.49 ,A2O
68 ,Tianjin,648.02 ,7798.84 ,210.54 ,23.36 ,104.77 ,4.82 ,87.90 ,4.00 ,40.06 ,0.52 ,51.71 ,5.03 ,5.01 ,0.11 ,0.26 ,OD
69 ,Tianjin,185.14 ,1684.73 ,229.76 ,21.54 ,99.58 ,1.98 ,376.54 ,1.85 ,44.43 ,0.48 ,52.87 ,7.16 ,5.69 ,0.16 ,0.60 ,A2O
70 ,Tianjin,7990.82 ,80966.78 ,254.93 ,15.02 ,95.20 ,1.84 ,204.82 ,1.33 ,39.63 ,0.13 ,50.38 ,5.93 ,4.73 ,0.12 ,0.37 ,AO
71 ,Tianjin,22956.42 ,158481.60 ,265.20 ,20.97 ,114.65 ,2.85 ,288.09 ,1.66 ,42.56 ,0.49 ,50.57 ,8.69 ,4.33 ,0.14 ,0.41 ,A2O
72 ,Tianjin,883.23 ,5671.00 ,304.36 ,17.33 ,102.93 ,2.18 ,192.80 ,1.78 ,38.43 ,0.57 ,49.28 ,7.09 ,5.57 ,0.09 ,0.37 ,A2O
73 ,Tianjin,1302.61 ,9870.00 ,770.73 ,22.75 ,232.92 ,2.95 ,938.06 ,2.00 ,34.76 ,0.88 ,61.36 ,8.11 ,11.55 ,0.09 ,0.52 ,OD
74 ,Tianjin,1494.36 ,7859.90 ,173.84 ,18.76 ,73.32 ,3.20 ,95.57 ,4.00 ,20.89 ,0.30 ,27.81 ,7.38 ,2.87 ,0.09 ,0.37 ,A2O
75 ,Tianjin,1393.95 ,23910.17 ,345.34 ,19.42 ,111.84 ,3.22 ,287.17 ,3.10 ,23.97 ,0.15 ,33.26 ,6.88 ,4.35 ,0.09 ,0.39 ,A2O
76 ,Tianjin,1332.45 ,11194.61 ,138.19 ,12.91 ,62.44 ,0.57 ,116.47 ,0.59 ,8.12 ,0.26 ,13.07 ,5.63 ,2.99 ,0.14 ,0.39 ,A2O
77 ,Tianjin,4885.39 ,37962.98 ,300.51 ,19.87 ,116.31 ,0.92 ,122.67 ,2.34 ,30.83 ,0.26 ,41.67 ,7.85 ,4.25 ,0.10 ,0.44 ,A2O
78 ,Tianjin,455.03 ,7662.80 ,211.53 ,16.57 ,79.68 ,3.58 ,33.68 ,3.52 ,39.47 ,0.42 ,45.66 ,7.00 ,3.86 ,0.07 ,0.60 ,A2O
79 ,Tianjin,522.51 ,2920.60 ,317.49 ,15.68 ,101.20 ,4.14 ,104.49 ,1.66 ,63.94 ,0.89 ,82.48 ,7.74 ,7.23 ,0.14 ,0.32 ,A2O
80 ,Tianjin,3.42 ,40.00 ,131.83 ,21.25 ,38.73 ,4.66 ,32.78 ,5.27 ,8.42 ,3.70 ,26.13 ,5.65 ,1.80 ,0.37 ,0.78 ,AO
81 ,Tianjin,1.89 ,0.00 ,196.11 ,38.07 ,84.44 ,7.91 ,29.89 ,6.37 ,15.75 ,5.26 ,29.38 ,9.52 ,0.92 ,0.39 ,1.41 ,AO
82 ,Tianjin,336.79 ,3842.00 ,216.22 ,22.00 ,67.37 ,3.57 ,163.68 ,3.89 ,21.26 ,0.75 ,34.24 ,3.92 ,3.62 ,0.10 ,0.74 ,OD
