OID_,Capacity__10000_ton_,Actual_volume_in_2019__10000_ton_,Sludge_yield,CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Electricity_consumption,Treatment_process,Latitude,Longitude
35,1,315.009999999999991,129.909999999999997,72.040000000000006,18.699999999999999,36.659999999999997,5.180000000000000,45.469999999999999,10.890000000000001,14.670000000000000,2.270000000000000,20.020000000000000,11.250000000000000,1.930000000000000,0.47,0.27,A2O,39.832689999999999,116.659779999999998
36,18,6570.000000000000000,94547.000000000000000,359.019999999999982,17.690000000000001,203.060000000000002,2.000000000000000,548.269999999999982,1.000000000000000,14.300000000000001,0.12,32.299999999999997,9.640000000000001,5.940000000000000,0.06,0.72,A2O,39.869155999999997,116.699706000000006
37,12,4106.930000000000291,37688.449999999997090,475.769999999999982,17.859999999999999,240.870000000000005,3.990000000000000,331.459999999999980,2.760000000000000,37.280000000000001,0.68,51.149999999999999,6.410000000000000,6.060000000000000,0.17,0.78,Other,39.717709999999997,116.382270000000005
38,4,306.439999999999998,1529.920000000000073,296.879999999999995,15.440000000000000,168.090000000000003,1.780000000000000,148.169999999999987,1.990000000000000,44.630000000000003,0.23,53.890000000000001,6.110000000000000,5.410000000000000,0.09,1.060000000000000,A2O,39.774448799999988,116.364184300000005
39,8.4,2685.030000000000200,13901.750000000000000,185.360000000000014,12.390000000000001,89.799999999999997,1.700000000000000,88.769999999999996,3.580000000000000,20.270000000000000,0.22,22.739999999999998,7.760000000000000,3.830000000000000,0.07,0.21,A2O,39.718629999999997,115.969319999999996
40,5,1868.869999999999891,10951.479999999999563,150.599999999999994,10.260000000000000,50.180000000000000,2.500000000000000,46.320000000000000,1.960000000000000,20.109999999999999,0.31,23.920000000000002,7.550000000000000,2.740000000000000,0.29,0.13,SBR,39.782480000000000,116.581760000000003
41,2,316.810000000000002,1771.000000000000000,115.150000000000006,14.760000000000000,66.180000000000007,6.260000000000000,88.530000000000001,5.800000000000000,15.779999999999999,0.18,29.809999999999999,6.030000000000000,1.980000000000000,0.17,0.51,A2O,40.300539999999998,116.683589999999995
42,4,139.500000000000000,105.420000000000002,66.000000000000000,17.710000000000001,13.970000000000001,1.460000000000000,32.240000000000002,3.670000000000000,5.750000000000000,0.53,13.029999999999999,4.530000000000000,1.160000000000000,0.07,1.390000000000000,A2O,39.858420000000002,116.720560000000006
43,8,3308.980000000000018,55850.000000000000000,442.490000000000009,22.859999999999999,183.479999999999990,6.220000000000000,337.250000000000000,7.740000000000000,44.030000000000001,0.99,59.609999999999999,8.789999999999999,6.210000000000000,0.2,0.48,CAS,39.690930999999999,116.172916000000001
44,1,22.590000000000000,183.780000000000001,120.000000000000000,11.640000000000001,39.030000000000001,1.560000000000000,69.810000000000002,4.000000000000000,24.030000000000001,0.72,30.820000000000000,9.699999999999999,2.030000000000000,0.2,2.440000000000000,A2O,39.801606000000000,116.156143999999998
45,0.5,141.870000000000005,2.550000000000000,83.040000000000006,14.039999999999999,100.340000000000003,10.359999999999999,95.060000000000002,9.070000000000000,7.750000000000000,0.34,18.539999999999999,4.990000000000000,1.110000000000000,0.23,0.23,OD,40.122669999999999,116.212320000000005
46,8,2512.409999999999854,18157.770000000000437,205.509999999999991,16.370000000000001,94.480000000000004,1.170000000000000,165.550000000000011,2.730000000000000,28.960000000000001,0.35,42.460000000000001,8.740000000000000,3.010000000000000,0.13,0.4,CAS,39.671639900000002,116.361770000000007
47,2,270.339999999999975,1875.970000000000027,158.939999999999998,14.869999999999999,69.069999999999993,1.100000000000000,130.159999999999997,2.460000000000000,29.670000000000002,0.39,35.799999999999997,8.380000000000001,3.900000000000000,0.17,0.96,Other,40.192219999999999,116.318669999999997
48,2.5,628.330000000000041,4020.130000000000109,210.460000000000008,12.720000000000001,88.579999999999998,1.330000000000000,175.219999999999999,2.910000000000000,35.140000000000001,0.19,39.009999999999998,9.480000000000000,4.440000000000000,0.2,0.74,A2O,40.165574499999998,116.217768000000007
49,7,604.259999999999991,1843.569999999999936,166.280000000000001,43.810000000000002,77.709999999999994,13.250000000000000,85.120000000000005,12.840000000000000,17.570000000000000,0.93,23.680000000000000,8.020000000000000,2.310000000000000,0.4,0.26,OD,40.177600000000012,116.399770000000004
50,1,16.050000000000001,83.700000000000003,169.300000000000011,35.270000000000003,57.109999999999999,8.560000000000000,74.150000000000006,7.060000000000000,21.399999999999999,1.190000000000000,25.010000000000002,11.520000000000000,2.700000000000000,0.32,0.4,A2O,39.915847999999997,116.728972999999996
51,2,608.320000000000050,2127.719999999999800,250.430000000000007,14.310000000000000,108.370000000000005,2.620000000000000,308.790000000000020,2.170000000000000,13.590000000000000,0.42,14.359999999999999,7.940000000000000,3.040000000000000,0.26,0.35,CAS,39.721099000000002,116.594543000000002
52,1,232.360000000000014,1031.099999999999909,238.159999999999997,21.140000000000001,94.510000000000005,6.170000000000000,164.490000000000009,11.520000000000000,28.739999999999998,0.85,32.450000000000003,13.779999999999999,2.390000000000000,0.6,0.22,OD,39.832493999999997,116.652001999999996
53,1,46.700000000000003,0.33,147.219999999999999,18.420000000000002,60.649999999999999,4.920000000000000,114.819999999999993,8.170000000000000,13.920000000000000,2.020000000000000,16.559999999999999,4.400000000000000,1.590000000000000,0.66,0.1,SBR,39.709423999999999,116.796586000000005
54,0.5,138.060000000000002,512.500000000000000,179.830000000000013,12.460000000000001,129.020000000000010,6.260000000000000,128.280000000000001,6.000000000000000,27.870000000000001,1.580000000000000,36.049999999999997,10.880000000000001,2.180000000000000,0.3,0.59,SBR,39.674349999999997,116.723456999999996
55,2,23.870000000000001,0.28,130.610000000000014,34.820000000000000,13.029999999999999,6.190000000000000,14.480000000000000,7.360000000000000,11.970000000000001,2.590000000000000,16.469999999999999,8.380000000000001,3.600000000000000,0.28,0.38,A2O,39.742880000000000,116.340329999999994
56,1.5,198.590000000000003,706.000000000000000,183.530000000000001,13.760000000000000,83.609999999999999,6.490000000000000,94.109999999999999,4.810000000000000,21.100000000000001,0.09,30.129999999999999,8.800000000000001,3.090000000000000,0.22,0.42,A2O,39.653165000000001,116.666084999999995
57,15,4886.000000000000000,37962.980000000003201,300.509999999999991,19.870000000000001,116.310000000000002,0.92,122.670000000000002,2.340000000000000,30.829999999999998,0.26,41.670000000000002,7.850000000000000,4.250000000000000,0.1,0.44,A2O,39.003199899999998,117.710710000000006
58,2.6,523.899999999999977,5230.000000000000000,279.560000000000002,13.690000000000000,136.340000000000003,5.080000000000000,205.009999999999991,8.710000000000001,22.870000000000001,0.41,30.010000000000002,10.470000000000001,3.130000000000000,0.22,0.43,OD,39.013233000000000,117.571686000000000
59,1.25,344.100000000000023,0,266.889999999999986,24.480000000000000,101.870000000000005,6.890000000000000,296.129999999999995,6.890000000000000,31.410000000000000,2.770000000000000,41.280000000000001,11.449999999999999,4.080000000000000,0.31,0.45,Other,38.946976900000003,117.476239300000003
60,5,1715.000000000000000,21443.669999999998254,276.240000000000009,13.740000000000000,108.049999999999997,2.560000000000000,106.939999999999998,2.270000000000000,26.020000000000000,0.15,33.469999999999999,6.780000000000000,4.330000000000000,0.22,0.4,A2O,39.145879999999998,117.423360000000002
61,1,291.199999999999989,1091.299999999999955,236.330000000000013,16.260000000000002,103.170000000000002,5.560000000000000,106.680000000000007,6.190000000000000,44.899999999999999,0.46,49.530000000000001,10.050000000000001,4.160000000000000,0.09,0.59,A2O,38.955387999999999,117.715952000000001
62,1,154.490000000000009,405.529999999999973,250.009999999999991,42.359999999999999,113.790000000000006,8.779999999999999,103.329999999999998,6.730000000000000,29.399999999999999,3.420000000000000,35.359999999999999,13.210000000000001,2.280000000000000,0.46,0.16,A2O,38.827666999999998,117.462164000000001
63,10,3024.710000000000036,11593.440000000000509,175.629999999999995,22.960000000000001,64.719999999999999,3.500000000000000,167.620000000000005,3.670000000000000,27.270000000000000,0.88,37.399999999999999,6.610000000000000,3.620000000000000,0.29,0.44,Other,39.151843000000000,117.736636000000004
64,1.95,549.929999999999950,3070.239999999999782,359.730000000000018,27.910000000000000,159.460000000000008,7.340000000000000,89.069999999999993,6.530000000000000,26.719999999999999,2.300000000000000,40.829999999999998,11.710000000000001,2.830000000000000,0.35,0.52,A2O,38.851030000000002,117.459059999999994
65,5,782.200000000000045,2207.000000000000000,173.870000000000005,18.449999999999999,128.120000000000005,2.550000000000000,165.020000000000010,6.000000000000000,20.449999999999999,0.78,20.180000000000000,6.000000000000000,2.740000000000000,0.16,0.44,A2O,39.027760000000001,117.657939999999996
66,10,3617.630000000000109,18032.720000000001164,211.460000000000008,20.059999999999999,94.010000000000005,2.200000000000000,125.680000000000007,1.990000000000000,21.270000000000000,0.39,27.980000000000000,6.860000000000000,2.640000000000000,0.09,0.21,CAS,39.071170000000002,117.717489999999998
67,5,1098.000000000000000,1547.700000000000045,205.780000000000001,24.850000000000001,89.489999999999995,7.750000000000000,195.729999999999990,7.710000000000000,21.320000000000000,1.500000000000000,30.660000000000000,8.600000000000000,2.840000000000000,0.16,0.33,A2O,39.003199899999998,117.710710000000006
68,2.3,312.899999999999977,4634.000000000000000,386.199999999999989,37.899999999999999,205.629999999999995,12.390000000000001,208.430000000000007,16.149999999999999,54.740000000000002,4.140000000000000,73.120000000000005,21.670000000000002,6.270000000000000,1.020000000000000,0.65,A2O,38.955387999999999,117.715952000000001
69,1,286.569999999999993,440.500000000000000,199.409999999999997,16.010000000000002,69.060000000000002,3.500000000000000,148.599999999999994,5.750000000000000,16.850000000000001,0.71,35.619999999999997,6.200000000000000,9.410000000000000,0.48,0.24,CAS,39.003199899999998,117.710710000000006
70,12,2102.000000000000000,25741.099999999998545,387.220000000000027,17.609999999999999,169.750000000000000,3.090000000000000,249.569999999999993,4.460000000000000,46.969999999999999,0.46,64.140000000000001,7.570000000000000,6.710000000000000,0.6,0.25,OD,39.038721000000002,117.651121700000004
71,8,1494.349999999999909,7859.899999999999636,173.840000000000003,18.760000000000002,73.319999999999993,3.200000000000000,95.569999999999993,4.000000000000000,20.890000000000001,0.3,27.809999999999999,7.380000000000000,2.870000000000000,0.09,0.37,A2O,39.290813000000000,117.228324000000001
72,15,4001.280000000000200,37970.050000000002910,748.600000000000023,18.320000000000000,320.730000000000018,4.480000000000000,581.679999999999950,2.670000000000000,30.199999999999999,0.61,64.280000000000001,7.090000000000000,13.590000000000000,0.16,0.44,Other,39.234636000000002,117.190437599999996
73,4,1393.950000000000045,23910.169999999998254,345.339999999999975,19.420000000000002,111.840000000000003,3.220000000000000,287.170000000000016,3.100000000000000,23.969999999999999,0.15,33.259999999999998,6.880000000000000,4.350000000000000,0.09,0.39,A2O,39.227480000000000,117.036580000000001
74,15,10502.000000000000000,87829.139999999999418,250.800000000000011,35.740000000000002,83.109999999999999,1.900000000000000,130.250000000000000,6.070000000000000,22.550000000000001,0.54,31.500000000000000,12.640000000000001,3.940000000000000,0.21,0.12,A2O,39.104979999999998,117.076939999999993
75,45,9339.000000000000000,46446.809999999997672,319.420000000000016,25.129999999999999,204.120000000000005,4.450000000000000,229.740000000000009,2.830000000000000,23.930000000000000,2.050000000000000,33.229999999999997,12.270000000000000,4.660000000000000,0.37,0.19,CAS,38.989339999999999,117.111459999999994
76,65,21551.650000000001455,110190.830000000001746,209.300000000000011,14.340000000000000,78.099999999999994,2.760000000000000,107.540000000000006,5.270000000000000,19.960000000000001,0.23,23.520000000000000,9.690000000000000,3.290000000000000,0.22,0.24,SBR,38.909302900000007,117.307128899999995
77,3,634.759999999999991,3981.000000000000000,352.660000000000025,19.160000000000000,172.530000000000001,5.790000000000000,164.180000000000007,8.630000000000001,26.719999999999999,1.140000000000000,26.090000000000000,11.240000000000000,4.090000000000000,0.23,0.38,OD,38.970930000000003,117.411209999999997
78,4,1422.670000000000073,4750.199999999999818,134.159999999999997,9.600000000000000,42.600000000000001,3.530000000000000,136.009999999999991,5.660000000000000,14.560000000000000,0.67,19.079999999999998,8.800000000000001,2.960000000000000,0.22,0.17,A2O,38.961623000000003,117.356791999999999
79,3,1081.500000000000000,12151.000000000000000,270.300000000000011,29.829999999999998,141.699999999999989,5.290000000000000,170.400000000000006,7.240000000000000,38.640000000000001,0.63,64.269999999999996,11.340000000000000,3.540000000000000,0.24,0.35,OD,38.967860000000002,117.403340000000000
80,3,207.979999999999990,917.220000000000027,217.810000000000002,13.140000000000001,123.930000000000007,7.030000000000000,162.719999999999999,7.200000000000000,35.509999999999998,0.92,50.710000000000001,9.730000000000000,3.420000000000000,0.26,0.77,AO,39.038055000000000,117.518249999999995
81,6,1986.039999999999964,2168.000000000000000,159.740000000000009,13.560000000000000,59.409999999999997,5.060000000000000,108.530000000000001,5.830000000000000,15.310000000000000,1.350000000000000,19.829999999999998,6.380000000000000,1.950000000000000,0.23,0.25,OD,39.984904000000000,117.405717999999993
82,1,370.990000000000009,2314.699999999999818,337.620000000000005,34.810000000000002,101.739999999999995,5.110000000000000,95.040000000000006,4.890000000000000,10.850000000000000,0.31,13.420000000000000,4.790000000000000,1.360000000000000,0.17,0.47,A2O,39.908438500000003,117.282640400000005
83,5.5,1332.190000000000055,11194.610000000000582,138.189999999999998,12.910000000000000,62.439999999999998,0.57,116.469999999999999,0.59,8.119999999999999,0.26,13.070000000000000,5.630000000000000,2.990000000000000,0.14,0.39,A2O,39.438510000000001,117.017250000000004
84,0.5,111.159999999999997,1763.410000000000082,242.840000000000003,30.559999999999999,87.099999999999994,4.780000000000000,116.969999999999999,5.960000000000000,29.480000000000000,1.280000000000000,38.689999999999998,8.279999999999999,3.630000000000000,0.29,0.28,A2O,39.172319999999999,116.931719999999999
85,0.5,140.949999999999989,113.189999999999998,63.880000000000003,18.739999999999998,31.059999999999999,5.250000000000000,124.280000000000001,7.010000000000000,6.600000000000000,0.75,8.640000000000001,5.970000000000000,1.310000000000000,0.21,0.76,A2O,39.258170000000000,116.952309999999997
86,1,130.259999999999991,1062.500000000000000,300.980000000000018,24.160000000000000,142.599999999999994,6.460000000000000,149.240000000000009,6.070000000000000,24.690000000000001,0.4,44.759999999999998,8.600000000000000,2.860000000000000,0.22,0.47,A2O,39.325060000000001,117.079729999999998
87,1,193.310000000000002,1367.700000000000045,142.750000000000000,6.940000000000000,67.469999999999999,1.360000000000000,80.069999999999993,0.1,7.690000000000000,0.71,28.730000000000000,5.330000000000000,2.590000000000000,0.05,0.27,CAS,39.295070000000003,117.002089999999995
88,1,311.230000000000018,370.300000000000011,318.500000000000000,24.730000000000000,88.510000000000005,8.949999999999999,194.990000000000009,1.930000000000000,30.960000000000001,1.220000000000000,30.230000000000000,2.270000000000000,4.200000000000000,0.4,1.040000000000000,A2O,39.384079900000003,117.044300000000007
89,1,172.090000000000003,432.240000000000009,203.250000000000000,25.770000000000000,96.650000000000006,8.699999999999999,95.310000000000002,12.690000000000000,25.719999999999999,1.840000000000000,28.430000000000000,12.380000000000001,2.190000000000000,0.63,0.25,Other,39.382254000000003,117.201132000000001
90,0.5,75.170000000000002,51.299999999999997,109.760000000000005,17.170000000000002,43.500000000000000,5.330000000000000,104.590000000000003,15.770000000000000,14.109999999999999,1.470000000000000,24.109999999999999,13.850000000000000,1.360000000000000,0.17,0.6,OD,39.193410000000000,117.033100000000005
91,1.5,547.029999999999973,7033.340000000000146,195.659999999999997,17.449999999999999,103.349999999999994,4.500000000000000,64.189999999999998,2.700000000000000,52.659999999999997,0.32,56.609999999999999,5.220000000000000,4.120000000000000,0.08,0.4,A2O,39.372689999999999,117.039699999999996
92,2,648.019999999999982,7798.840000000000146,210.539999999999992,23.359999999999999,104.769999999999996,4.820000000000000,87.900000000000006,4.000000000000000,40.060000000000002,0.52,51.710000000000001,5.030000000000000,5.010000000000000,0.11,0.26,OD,39.132697000000000,117.323903000000001
93,1,224.319999999999993,283.500000000000000,141.719999999999999,18.160000000000000,109.150000000000006,8.369999999999999,123.640000000000001,3.520000000000000,23.660000000000000,1.670000000000000,20.910000000000000,8.449999999999999,2.840000000000000,0.34,0.34,CAS,38.876700000000000,116.966170000000005
94,1.5,499.970000000000027,2897.539999999999964,196.949999999999989,18.289999999999999,95.700000000000003,2.470000000000000,114.260000000000005,3.620000000000000,33.740000000000002,0.37,40.109999999999999,10.760000000000000,4.930000000000000,0.17,0.47,SBR,39.047037300000000,116.923351600000004
95,4,597.000000000000000,7735.840000000000146,235.919999999999987,19.359999999999999,73.189999999999998,5.110000000000000,167.710000000000008,6.440000000000000,24.480000000000000,0.44,34.979999999999997,8.630000000000001,2.570000000000000,0.15,0.36,A2O,38.832930999999988,117.064479000000006
96,1,21.039999999999999,138.319999999999993,272.519999999999982,16.399999999999999,115.870000000000005,5.270000000000000,158.840000000000003,8.680000000000000,44.250000000000000,0.54,52.159999999999997,9.020000000000000,4.120000000000000,0.22,2.510000000000000,OD,49.345269599999988,-95.0650844
97,0.5,78.540000000000006,9.100000000000000,56.500000000000000,14.380000000000001,18.379999999999999,3.960000000000000,21.100000000000001,6.410000000000000,7.290000000000000,2.170000000000000,16.890000000000001,8.830000000000000,0.81,0.27,0.18,CAS,39.241397999999997,117.427413999999999
98,6,2166.769999999999982,8813.000000000000000,192.409999999999997,19.969999999999999,108.439999999999998,2.390000000000000,196.080000000000013,1.830000000000000,22.690000000000001,1.050000000000000,27.910000000000000,7.270000000000000,2.450000000000000,0.04,0.38,Other,39.238950000000003,117.772970000000001
99,1.2,322.360000000000014,608.320000000000050,110.939999999999998,13.760000000000000,53.450000000000003,3.200000000000000,115.620000000000005,0.95,24.280000000000001,0.18,27.379999999999999,8.070000000000000,2.990000000000000,0.2,0.49,A2O,39.380909899999999,117.747569900000002
100,1,117.739999999999995,612.000000000000000,152.159999999999997,17.420000000000002,60.969999999999999,6.380000000000000,116.439999999999998,4.940000000000000,25.920000000000002,2.130000000000000,30.800000000000001,6.750000000000000,3.110000000000000,0.5,0.19,SBR,39.299100000000003,117.414559999999994
101,1,248.479999999999990,1631.680000000000064,172.680000000000007,10.350000000000000,57.570000000000000,3.100000000000000,107.359999999999999,0.84,13.570000000000000,0.29,15.550000000000001,2.440000000000000,2.110000000000000,0.14,0.92,A2O,39.762309999999999,117.264039999999994
102,1,322.220000000000027,43.000000000000000,160.699999999999989,13.920000000000000,44.630000000000003,6.640000000000000,22.609999999999999,4.700000000000000,15.539999999999999,0.62,20.120000000000001,7.090000000000000,2.070000000000000,0.26,0.55,CAS,39.512825999999997,117.440606000000002
