Plant ID,Longitude,Latitude,Province,Annual_HDD,Treatment_process,Average_flow__MGD_,Sludgeield__tone__file2,CODinf,CODeff,BODinf,COD removal,TN removal,COD/BOD,COD/TN,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),COD removal based EUI (kWh/kg COD removed),Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Recoverable energy density (kWh/m3),Current recovered heat waste,Efficiency score,Efficiency_Group,Optimal EUI (kWh/kg COD removed),Optimal EUI (kWh/m3),Energy gap,Selected_Process,Electricity recovery after selection (kWh/a),Heat recovery after selection (kWh/a),Electricity consumption after upgrade,Heat consumption after upgrade,Effective heat recovery after selection (kWh/a),Recoverable energy density after selection (kWh/m3),EUI (kWh/m3),EUI (kWH/kg COD removed),New efficiency score,Optimal EUI after selection (kWh/kg COD removed),Optimal EUI after selection (kWh/m3),Energy gap after selection
2859,105.356975,27.26851,Guizhou,7289.05,A2O,6.3043024,10032.1,338.99,17.66,99.66,0.947904068,0.845587031,3.401464981,5.550843295,4.43,238.23,4.54,31.49,1.58,61.07,9.43,2.88,0.18,0.5,1.556032739,4400000,233000,379000,433000,233000,0.070260055,0.538,0.367444275,Inefficient,0.571755322,0.210471472,0.666177775,CEPT,594000,679000,2515539.165,444038.4972,444038.4972,0.119170984,0.339771388,1.057390807,0.585725739,0.619341012,0.199012847,0.401189495
2860,109.264002,26.910129,Guizhou,6406.12,OD,1.63805,951,207.48,22.18,90.73,0.89309813,0.609290751,2.286784966,8.60555786,6.58,95.2,8.18,19.88,2.08,24.11,9.42,2.43,0.6,0.15,0.809498111,343000,19400,86900,99300,19400,0.046967799,0.195,1,Efficient,0.809498111,0.158571734,0.703807242,Current,86900,99300,343000,19400,19400,0.046967799,0.160123522,0.86413126,1.252543244,1.082361771,0.200561636,0.765818628
2861,106.467315,26.560379,Guizhou,7051.32,Other,12.42384,12167.04,103.97,14.09,48.62,0.864480139,0.454405541,2.138420403,4.000384763,6.14,161.39,7.45,19.32,1.37,25.99,14.18,2.2,0.45,0.39,4.339118825,6740000,273000,333000,380000,273000,0.03530294,0.718,0.406012968,Inefficient,1.761738513,0.174248857,0.797399302,HRAS,618814.71,707216.81,5141869.823,100411.0175,100411.0175,0.041898981,0.305392617,3.397781679,0.176474215,0.599620854,0.053893922,0.222565745
2864,106.4188,27.81686,Guizhou,6856.48,A2O,1.2186368,604,198.65,13.87,76.99,0.930178706,0.82601476,2.580205221,3.665129151,3.24,200.49,1.39,47.26,0.69,54.2,9.43,4.64,0.23,0.59,3.192986254,996000,13200,56700,64800,13200,0.04151423,0.203,0.324794768,Inefficient,1.03706523,0.19946851,0.79187577,HRAS,118991.12,135989.85,623910.1952,18783.01692,18783.01692,0.081825282,0.3817012,2.065706243,0.424359639,0.876602357,0.161978583,0.494838884
2866,107.183563,27.946089,Guizhou,7193.01,A2O,3.5838,3109,235.92,24.57,121.41,0.895854527,0.707878091,1.943167779,6.783208741,6.93,100.29,7.18,25.71,0.92,34.78,10.16,3.62,0.34,0.45,2.129169624,2240000,71100,259000,296000,71100,0.066664689,0.241,0.406062722,Inefficient,0.864576413,0.197087084,0.661750085,CEPT,411000,470000,1295269.951,186487.2692,186487.2692,0.120664354,0.299245334,1.415875723,0.61544152,0.871388708,0.184168003,0.344813694
2868,109.263049,27.722814,Guizhou,6534.47,CAS,9.555352,2062.27,113.86,6.7,61,0.941155805,0.653846154,1.866557377,4.170695971,7.8,123.11,6.67,14.7,0.34,27.3,9.45,1.36,0.36,0.15,1.399776036,1990000,42900,321000,366000,42900,0.027563189,0.117,1,Efficient,1.399776036,0.153249411,0.820141631,CEPT,551000,630000,1478051.052,477061.0666,477061.0666,0.077869309,0.148087731,1.381931044,1.093950923,1.511764741,0.16200071,0.519327357
2869,109.18723,27.69227,Guizhou,6534.47,SBR,20.715088,41020.38,189.51,29.49,57.49,0.844388159,0.63455414,3.296399374,5.029458599,1.69,172.17,4.86,35.06,1.87,37.68,13.77,2.8,0.33,0.54,3.374578178,15600000,853000,729000,833000,833000,0.054574322,1,0.255510597,Inefficient,0.862240485,0.167778473,0.674723933,HRAS,1695852.51,1938117.16,10095243.93,255111.7017,255111.7017,0.068164244,0.36162845,2.259895326,0.286305293,0.647019993,0.103536139,0.341638154
2870,104.28228,26.86779,Guizhou,7775.33,SBR,2.3536516,1166.1,118.6,18.35,83.97,0.845278246,0.731688512,1.412409194,4.572089437,10.06,226.84,2.7,12.96,1.03,25.94,6.96,1.87,0.21,0.46,4.588528678,1500000,28800,110000,125000,28800,0.042681669,0.23,0.237610582,Inefficient,1.09028297,0.118157006,0.638771581,CEPT,187000,214000,873515.2094,173140.149,173140.149,0.110744831,0.321851565,3.210489424,0.219253363,0.703910602,0.070567038,-0.569356376
2871,107.47106,27.0778999,Guizhou,7114.26,CAS,2.120234,1856,198.46,13.38,53.17,0.932580873,0.775670945,3.732555953,5.789381564,8.52,132.24,6.74,32.11,0.61,34.28,7.69,2.72,0.2,0.44,2.377350335,1300000,42000,59700,68200,42000,0.034716126,0.616,0.501290604,Inefficient,1.191743385,0.234904909,0.852212002,CEPT,107000,122000,753168.578,117683.0711,117683.0711,0.076697403,0.297272328,1.606182884,0.62851857,1.00951577,0.186841179,0.589504823
2873,108.40091,27.05451,Guizhou,6818.29,AO,1.680404,616.5,117.31,10.9,76.29,0.907083795,0.662943757,1.537685149,4.679297966,1.03,37.01,0.92,20.9,0.38,25.07,8.45,2.71,0.21,0.41,3.853021333,954000,13400,79700,91100,13400,0.04009868,0.147,0.44535711,Inefficient,1.715970446,0.188367869,0.787125691,CEPT,121000,139000,558576.4662,70275.08762,70275.08762,0.082383228,0.270849808,2.545341679,0.425190156,1.082254226,0.115162672,0.284636018
2874,106.71396,27.0896099,Guizhou,6971.78,CAS,2.9536304,1603.14,183.98,18.72,104.56,0.89824981,0.72506812,1.759563887,5.013079019,6.59,148.71,7.1,29.29,0.58,36.7,10.09,2.21,0.15,0.4,2.420428416,1640000,35600,182000,209000,35600,0.053320823,0.171,0.605590656,Inefficient,1.465788832,0.250959706,0.787532335,CEPT,292000,334000,968620.1751,166335.847,166335.847,0.112310866,0.278110243,1.682864838,0.604128777,1.016667077,0.168014401,0.331540241
2875,106.9336299,27.67735,Guizhou,6819.28,CAS,5.127368,5456.95,315.08,35.09,158.21,0.888631459,0.737405791,1.991530245,12.49821499,4.41,339.53,7.81,18.71,0.4,25.21,6.62,6.5,0.36,0.32,1.142897961,2290000,118000,497000,568000,118000,0.086810994,0.208,0.381148772,Inefficient,0.435614154,0.138624025,0.373766607,Current,497000,568000,2290000,118000,118000,0.086810994,0.339903858,1.213985708,0.56606576,0.687195743,0.192407936,0.548818019
2876,106.6885,26.53396,Guizhou,7112.03,CAS,22.0618004,42328,486.88,22.18,244.44,0.954444627,0.810846561,1.991818033,9.200302343,5.49,242.51,5.5,44.81,1.84,52.92,10.01,5.06,0.18,0.58,1.248117065,17800000,958000,3320000,3800000,958000,0.140344026,0.252,0.17904829,Inefficient,0.223473226,0.135276147,-0.037463211,Current,3320000,3800000,17800000,958000,958000,0.140344026,0.615374762,1.324240934,0.298826102,0.395717757,0.183890042,0.236804645
2877,106.835352,26.641128,Guizhou,7112.03,A2O,63.4224,41622.5,121.67,11.36,83.3,0.906632695,0.580377706,1.46062425,5.604329802,4.94,87.78,5.14,15.69,1.78,21.71,9.11,1.94,0.28,0.2,1.813072251,17700000,942000,3130000,3580000,942000,0.046468558,0.263,1,Efficient,1.813072251,0.210749848,0.779508462,CEPT,5000000,5710000,11951788.79,3167397.227,3167397.227,0.093204119,0.172536045,1.564101577,0.735890509,1.151007505,0.126967638,0.26592224
