Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,annual_hdd,Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Methane generation (m3/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Current energy self-sufficiency,Current recovered heat waste,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a),COD_eff (mg/L),COD_removal (%),NHx_eff (mg/L),NHx_removal (%),C/N_ratio_HRAS,Sludge_VSS (g/a),Sludge_TSS (g/a),Sludge_COD (g/a),Electricity recovery potential (kWh/a)_HRAS,Heat recovery potential (kWh/a)_HRAS,If CEPT,If HRAS,Electricity consumption HRAS-PNA,Heat consumption HRAS-PNA,HRAS-PNA energy consumption,Electricity consumption CEPT-PDA,Heat consumption CEPT-PDA,CEPT-PDA energy consumption,Selected_Process,Selected_Electricity,Selected_Heat,Electricity consumption after upgrade,Heat consumption after upgrade
20,3.3562468,2880.76,251.44,7.92,101.34,4.06,100.99,6.58,16.89,0.79,27.95,8.4,1.82,0.3,0.4,A2O,39.750652,116.19926,8213.33,1870000.0,75300.0,59200.0,206000.0,235000.0,75300.0,0.145,0.32,62.9,23.8,2.65,235000.0,375000.0,1530.0,322000.0,368000.0,65.21431992386184,74.06366532,14.699595986396671,12.96864424868755,4.436470225726788,512852529.1075615,603355916.5971313,761019790.0652071,416722.54,476254.33,,,,,,,,,Current,206000.0,235000.0,1870000.0,75300.0
22,12.6952676,8894.79,113.65,10.03,37.61,2.52,178.02,3.88,19.94,0.46,28.28,8.11,2.94,0.18,0.58,A2O,39.793176,116.189968,8213.33,10200000.0,232000.0,80700.0,281000.0,321000.0,232000.0,0.0492,0.724,28.4,24.0,1.18,330000.0,2500000.0,6870.0,452000.0,516000.0,44.49654966230928,60.84773456901955,19.31042601828741,3.157341934366061,2.304275919141817,762262831.3792765,896779801.6226783,1131895520.5377915,619808.29,708352.33,CEPT,,,,,7785159.96349628,897484.445502283,8682644.408998564,CEPT,452000.0,516000.0,7785159.96349628,897484.445502283
23,9.9463844,14938.46,273.01,12.2,185.67,2.33,119.33,3.04,37.41,0.23,45.01,6.37,5.35,0.09,0.72,A2O,40.4588,115.98456,9150.03,9950000.0,435000.0,330000.0,1150000.0,1310000.0,435000.0,0.153,0.331,68.3,38.3,1.78,1280000.0,1310000.0,4740.0,1750000.0,2000000.0,67.44762210303874,75.29481626935323,34.98118763320425,6.492414773578579,1.9281112696990668,1669045623.827617,1963583087.0,2476771263.0,1356241.23,1549989.97,CEPT,HRAS,7410840.206912668,285774.00518191827,7696614.212094586,7433386.135574579,689845.4124657534,8123231.548040332,CEPT,1750000.0,2000000.0,7433386.135574579,689845.4124657534
29,5.43,3114.0,148.06,17.7,65.62,8.76,110.14,4.17,15.06,2.89,19.75,8.61,1.6,0.38,0.21,A2O,40.0587899,116.5764355,8070.8499999999985,1590000.0,80000.0,56000.0,195000.0,222000.0,80000.0,0.165,0.359,37.0,16.8,2.2,246000.0,661000.0,2530.0,337000.0,385000.0,46.94215076503957,68.29518386799975,14.027696947553284,6.854601941877276,3.3463904260654305,482429584.3176583,567564216.8,716179266.2254572,392168.57,448192.65,,,,,,,,,Current,195000.0,222000.0,1590000.0,80000.0
30,5.8614316,13576.53,126.69,22.24,30.3,4.75,33.74,4.2,19.03,0.95,40.05,12.07,3.31,0.11,0.76,A2O,40.120122,116.609856,8070.8499999999985,6210000.0,349000.0,27100.0,94400.0,108000.0,108000.0,0.0309,1.0,31.7,34.0,0.93,123000.0,219000.0,2240.0,168000.0,192000.0,56.36442122,55.50996826,18.38965170224377,3.364941133768943,3.0650075449104737,328363251.4454513,386309707.5828839,487550866.9708649,266975.23,305114.55,CEPT,,,,,4596209.550332661,287553.206697108,4883762.757029769,CEPT,168000.0,192000.0,4596209.550332661,287553.206697108
31,5.8239284,6998.0,205.25,19.4,60.59,4.81,196.64,6.4,24.84,0.47,31.56,9.58,3.25,0.24,0.19,A2O,40.14796,116.55095,8213.33,1560000.0,183000.0,58900.0,205000.0,234000.0,183000.0,0.223,0.781,51.3,26.8,1.91,244000.0,1270000.0,3270.0,334000.0,381000.0,70.98918498,65.41330817152871,23.41092922034136,5.753102977691792,3.032309581127433,628071650.4,738907824.0551213,932231337.3,510475.31,583400.35,CEPT,,,,,1377024.53234741,427186.9194748858,1804211.4518222958,CEPT,334000.0,381000.0,1377024.53234741,427186.9194748858
33,10.5704,10232.71,193.83,13.15,93.1,2.78,134.78,4.53,26.88,0.25,33.8,4.11,3.15,0.1,0.51,A2O,39.915848,116.728973,8070.8499999999985,7490000.0,263000.0,173000.0,602000.0,688000.0,263000.0,0.112,0.382,48.5,28.7,1.69,680000.0,1570000.0,5220.0,931000.0,1060000.0,55.19382543468262,71.52462186726379,25.371488098718014,5.612023442269274,2.175427204739776,1252457580.1911106,1473479506.107189,1859020964.8086176,1017970.82,1163395.22,CEPT,,,,,5756479.82154,670101.669178082,6426581.490718082,CEPT,931000.0,1060000.0,5756479.82154,670101.669178082
34,2.2806724,129.91,72.04,18.7,36.66,5.18,45.47,10.89,14.67,2.27,20.02,11.25,1.93,0.47,0.27,A2O,39.83269,116.65978,8070.8499999999985,851000.0,3340.0,13000.0,45300.0,51700.0,3340.0,0.0569,0.0645,18.0,17.0,1.06,57800.0,115000.0,901.0,79100.0,90400.0,28.60685214041793,60.29032184839266,14.330951295267408,2.3111704480749307,1.9961586325302036,93400969.76710396,109883493.84365173,138740529.0991203,75972.14,86825.31,CEPT,HRAS,955104.8366497211,14105.960275814277,969210.7969255354,708121.4203811301,115663.14251522068,823784.5628963507,CEPT,79100.0,90400.0,708121.4203811301,115663.14251522068
35,47.5668,94547.0,359.02,17.69,203.06,2.0,548.27,1.0,14.3,0.12,32.3,9.64,5.94,0.06,0.72,A2O,39.869156,116.699706,8070.8499999999985,47700000.0,2430000.0,1730000.0,6030000.0,6890000.0,2430000.0,0.169,0.352,89.8,27.5,3.27,6670000.0,28800000.0,45200.0,9130000.0,10400000.0,80.69828969425078,77.52261999,10.69773678227792,25.190651872182386,7.543491799867159,10199750087.004477,11999705984.71115,15130272794.057823,8285100.86,9468686.7,,,,,,,,,Current,6030000.0,6890000.0,47700000.0,2430000.0
38,19.4396172,13901.75,185.36,12.39,89.8,1.7,88.77,3.58,20.27,0.22,22.74,7.76,3.83,0.07,0.21,A2O,39.71863,115.96932,7792.129999999999,5700000.0,345000.0,310000.0,1080000.0,1230000.0,345000.0,0.236,0.279,46.3,19.3,2.4,1210000.0,1910000.0,8610.0,1650000.0,1890000.0,53.90699819477714,70.91767468991307,18.84941871685881,7.008294440755725,2.8598758934970774,2191800183.812188,2578588451.5437512,3253304797.2019167,1781458.85,2035952.97,,,,,,,,,Current,1080000.0,1230000.0,5700000.0,345000.0
40,2.2937044,1771.0,115.15,14.76,66.18,6.26,88.53,5.8,15.78,0.18,29.81,6.03,1.98,0.17,0.51,A2O,40.30054,116.68359,8716.09,1620000.0,49100.0,24900.0,86700.0,99000.0,49100.0,0.0812,0.496,28.8,25.3,1.14,105000.0,224000.0,1020.0,144000.0,164000.0,39.665580184990894,65.55312185411127,15.069166446416972,4.504648628536296,2.632234525116833,156306463.27350816,183889956.7923625,232092484.6724372,127090.22,145245.96,CEPT,,,,,1246862.6083986901,141407.61538812786,1388270.2237868179,CEPT,144000.0,164000.0,1246862.6083986901,141407.61538812786
47,4.5491092,4020.13,210.46,12.72,88.58,1.33,175.22,2.91,35.14,0.19,39.01,9.48,4.44,0.2,0.74,A2O,40.1655745,116.217768,8213.33,4670000.0,105000.0,71900.0,250000.0,286000.0,105000.0,0.0744,0.367,52.6,33.2,1.59,278000.0,881000.0,2450.0,381000.0,436000.0,57.87466125825908,72.50087367753537,33.44981010260645,4.809874494574705,1.730194015473631,587821491.0704849,691554695.3770411,872464961.8052235,477748.17,545997.91,CEPT,HRAS,3450682.5941055296,90343.4617634591,3541026.055868989,3493393.9687426807,320063.5941019786,3813457.562844659,HRAS,477748.17,545997.91,3450682.5941055296,90343.4617634591
49,0.116202,83.7,169.3,35.27,57.11,8.56,74.15,7.06,21.4,1.19,25.01,11.52,2.7,0.32,0.4,A2O,39.915848,116.728973,8070.8499999999985,64600.0,2150.0,1020.0,3560.0,4070.0,2150.0,0.0855,0.529,42.3,21.3,1.99,4580.0,9520.0,49.6,6280.0,7170.0,57.68737098610387,65.92594743880457,20.24996249331288,5.374007040594003,2.848764337472422,10894963.726879723,12817604.384564385,16173015.648686197,8856.09,10121.25,CEPT,,,,,50763.55348850001,6367.249576864534,57130.80306536454,CEPT,6280.0,7170.0,50763.55348850001,6367.249576864534
54,0.1728188,0.28,130.61,34.82,13.03,6.19,14.48,7.36,11.97,2.59,16.47,8.38,3.6,0.28,0.38,A2O,39.74288,116.34033,7792.129999999999,90700.0,6.94,214.0,745.0,852.0,6.94,0.00829,0.00815,32.7,14.0,2.33,1560.0,2770.0,62.3,2130.0,2430.0,73.23002455899615,43.93229878340392,11.506098450412154,3.8755350842760823,6.364453152786384,6223912.163743063,7322249.604403602,9241282.226296762,5060.38,5783.29,,,,,,,,,Current,745.0,852.0,90700.0,6.94
55,1.4377916,706.0,183.53,13.76,83.61,6.49,94.11,4.81,21.1,0.09,30.13,8.8,3.09,0.22,0.42,A2O,39.653165,116.666085,7996.749999999999,837000.0,18000.0,20100.0,69900.0,79900.0,18000.0,0.103,0.225,45.9,25.6,1.79,83000.0,150000.0,645.0,114000.0,130000.0,53.53558202804243,70.83006482425628,19.70012178989641,6.634493886746857,2.717525434563515,160565356.3687432,188900419.3,238331402.77618003,130506.55,149150.34,CEPT,,,,,656545.6696933201,82039.71718036527,738585.3868736853,CEPT,114000.0,130000.0,656545.6696933201,82039.71718036527
56,35.37464,37962.98,300.51,19.87,116.31,0.92,122.67,2.34,30.83,0.26,41.67,7.85,4.25,0.1,0.44,A2O,39.0031999,117.71071,7835.249999999999,21700000.0,946000.0,740000.0,2570000.0,2940000.0,946000.0,0.156,0.322,75.1,35.4,2.12,2840000.0,4800000.0,17000.0,3890000.0,4450000.0,73.66305562257084,75.48731968234974,28.09432364192228,8.873423153,2.621990711057767,6413110739.006924,7544836163.537558,9515947130.722029,5210783.89,5955181.59,,,,,,,,,Current,2570000.0,2940000.0,21700000.0,946000.0
59,12.4166,21443.67,276.24,13.74,108.05,2.56,106.94,2.27,26.02,0.15,33.47,6.78,4.33,0.22,0.4,A2O,39.14588,117.42336,7835.249999999999,6950000.0,534000.0,237000.0,826000.0,944000.0,534000.0,0.182,0.566,69.1,28.4,2.43,927000.0,1470000.0,5750.0,1270000.0,1450000.0,69.68763489,74.77279362364338,23.5677895,9.424329346936196,2.956901617032652,2077219269.8319428,2443787376.2728744,3082364854.966257,1687854.81,1928976.93,,,,,,,,,Current,826000.0,944000.0,6950000.0,534000.0
60,2.108288,1091.3,236.33,16.26,103.17,5.56,106.68,6.19,44.9,0.46,49.53,10.05,4.16,0.09,0.59,A2O,38.955388,117.715952,7835.249999999999,1720000.0,27200.0,37300.0,130000.0,148000.0,27200.0,0.0897,0.183,59.1,42.1,1.4,150000.0,249000.0,975.0,206000.0,235000.0,61.90062596958629,73.80754624060158,42.91535571103052,4.420143182560083,1.4423887427705977,306881673.18080944,361037262.5656582,455450837.0468352,249397.76,285026.01,CEPT,HRAS,1372820.5291924332,44994.12459719732,1417814.6537896306,1309945.1883231997,121508.98544520546,1431454.173768405,HRAS,249397.76,285026.01,1372820.5291924332,44994.12459719732
61,1.1185076,405.53,250.01,42.36,113.79,8.78,103.33,6.73,29.4,3.42,35.36,13.21,2.28,0.46,0.16,A2O,38.827667,117.462164,7835.249999999999,249000.0,10100.0,21300.0,74100.0,84600.0,10100.0,0.325,0.119,62.5,30.1,2.08,87900.0,128000.0,513.0,120000.0,138000.0,64.28279675,74.28790978,27.245446585345004,7.328412975016989,2.359395965557406,171558801.14825356,201833883.7038277,254595720.53578016,139412.64,159328.73,,,,,,,,,Current,74100.0,84600.0,249000.0,10100.0
63,3.9814932,3070.24,359.73,27.91,159.46,7.34,89.07,6.53,26.72,2.3,40.83,11.71,2.83,0.35,0.52,A2O,38.85103,117.45906,7835.249999999999,2870000.0,76500.0,110000.0,382000.0,436000.0,76500.0,0.155,0.175,89.9,34.7,2.59,439000.0,392000.0,1760.0,600000.0,686000.0,79.12111361,78.00541695016447,23.15709105188544,13.334240075279046,3.4167121175926503,869495321.9313358,1022935672.8603952,1289969339.7537117,706367.05,807276.62,,,,,,,,,Current,382000.0,436000.0,2870000.0,76500.0
66,7.94952,1547.7,205.78,24.85,89.49,7.75,195.73,7.71,21.32,1.5,30.66,8.6,2.84,0.16,0.33,A2O,39.0031999,117.71071,7835.249999999999,3630000.0,38600.0,118000.0,410000.0,468000.0,38600.0,0.122,0.0824,51.4,26.1,1.97,491000.0,1720000.0,4460.0,673000.0,769000.0,57.47232203574708,72.07098744496692,19.673587502215057,7.722385074038198,2.9212934361501808,998022375.6394464,1174143971.340525,1481255261.4623604,811112.23,926985.4,CEPT,,,,,2955933.4450060003,555825.7180365296,3511759.16304253,CEPT,673000.0,769000.0,2955933.4450060003,555825.7180365296
67,2.265396,4634.0,386.2,37.9,205.63,12.39,208.43,16.15,54.74,4.14,73.12,21.67,6.27,1.02,0.65,A2O,38.955388,117.715952,7835.249999999999,2050000.0,116000.0,79300.0,276000.0,315000.0,116000.0,0.181,0.366,96.6,62.2,1.55,322000.0,522000.0,1300.0,441000.0,503000.0,81.37670993,78.92886848053577,50.84378084166229,7.117682057613655,1.6005243626864467,533630051.7279549,627800060.8564177,791691929.4,433518.12,495449.29,CEPT,HRAS,1577576.5103671283,78239.33175087339,1655815.8421180018,1544069.8938755002,162011.98059360727,1706081.8744691075,CEPT,441000.0,503000.0,1544069.8938755002,162011.98059360727
70,10.819094,7859.9,173.84,18.76,73.32,3.2,95.57,4.0,20.89,0.3,27.81,7.38,2.87,0.09,0.37,A2O,39.290813,117.228324,8049.469999999999,5560000.0,201000.0,137000.0,478000.0,547000.0,201000.0,0.118,0.368,43.5,23.6,1.84,548000.0,1140000.0,4870.0,750000.0,857000.0,51.741688732490005,70.23602811062472,19.59433239573718,6.202334151569272,2.6406456564831267,1142362959.963661,1343956423.0,1695712823.4789605,928545.83,1061195.24,CEPT,,,,,4417508.32200805,623515.376719939,5041023.69872799,CEPT,750000.0,857000.0,4417508.32200805,623515.376719939
72,10.092198,23910.17,345.34,19.42,111.84,3.22,287.17,3.1,23.97,0.15,33.26,6.88,4.35,0.09,0.39,A2O,39.22748,117.03658,7860.05,5530000.0,598000.0,199000.0,691000.0,790000.0,598000.0,0.21,0.757,86.3,28.3,3.05,780000.0,3200000.0,6680.0,1070000.0,1220000.0,92.9132828129416,73.09512862,20.903958273130733,12.791162815474616,4.4447698181817215,1936676628.246144,2278443092.054287,2873492961.776957,1573479.83,1798262.66,,,,,,,,,Current,691000.0,790000.0,5530000.0,598000.0
73,76.03448,87829.14,250.8,35.74,83.11,1.9,130.25,6.07,22.55,0.54,31.5,12.64,3.94,0.21,0.12,A2O,39.10498,117.07694,7860.05,13000000.0,2200000.0,1120000.0,3890000.0,4450000.0,2200000.0,0.402,0.494,62.7,26.8,2.34,4370000.0,10900000.0,37200.0,5980000.0,6830000.0,75.24389769101691,69.99844589672371,20.558646314452083,8.830836743006284,3.659963625042901,10669225846.34099,12552030407.45999,15833418399.27586,8670132.4,9908722.74,,,,,,,,,Current,3890000.0,4450000.0,13000000.0,2200000.0
77,10.3001308,4750.2,134.16,9.6,42.6,3.53,136.01,5.66,14.56,0.67,19.08,8.8,2.96,0.22,0.17,A2O,38.961623,117.356792,7835.249999999999,2440000.0,118000.0,72900.0,254000.0,290000.0,118000.0,0.146,0.408,33.5,16.2,2.07,303000.0,1550000.0,5100.0,415000.0,474000.0,51.41723614437031,61.67468981487008,13.763671179351542,5.469291350607544,3.735721049592291,720855790.2788985,848065635.6222336,1070229726.4236394,586041.07,669761.22,,,,,,,,,Current,254000.0,290000.0,2440000.0,118000.0
81,2.6859676,2314.7,337.62,34.81,101.74,5.11,95.04,4.89,10.85,0.31,13.42,4.79,1.36,0.17,0.47,A2O,39.9084385,117.2826404,8236.76,1750000.0,60700.0,47000.0,164000.0,187000.0,60700.0,0.124,0.324,84.4,11.4,7.4,189000.0,282000.0,1210.0,258000.0,295000.0,98.94538912952444,70.69326783676192,7.918422601433492,27.01914653056689,12.495593391493411,477178369.54086137,561386317.1068957,707897729.2461091,387633.73,443009.98,,,,,,,,,Current,164000.0,187000.0,1750000.0,60700.0
82,9.6450556,11194.61,138.19,12.91,62.44,0.57,116.47,0.59,8.12,0.26,13.07,5.63,2.99,0.14,0.39,A2O,39.43851,117.01725,7996.749999999999,5240000.0,285000.0,108000.0,376000.0,430000.0,285000.0,0.12,0.662,34.5,11.1,3.11,416000.0,1240000.0,4570.0,570000.0,651000.0,45.71199681115624,66.92090830656615,7.174401538,11.64530125928238,6.371541454803486,782761157.4853996,920895479.3945878,1161943864.0,636262.3,727156.91,,,,,,,,,Current,376000.0,430000.0,5240000.0,285000.0
83,0.8047984,1763.41,242.84,30.56,87.1,4.78,116.97,5.96,29.48,1.28,38.69,8.28,3.63,0.29,0.28,A2O,39.17232,116.93172,7860.05,318000.0,44100.0,12000.0,41800.0,47700.0,44100.0,0.237,0.924,60.7,32.9,1.85,48400.0,104000.0,381.0,66300.0,75800.0,69.29448807,71.46496126105937,27.513898196140087,6.669273419,2.5185267307329315,113814209.53306104,133899070.03889534,168909468.76324648,92492.18,105705.35,CEPT,,,,,258925.18142632002,47632.26190639269,306557.4433327127,CEPT,66300.0,75800.0,258925.18142632002,47632.26190639269
84,1.020478,113.19,63.88,18.74,31.06,5.25,124.28,7.01,6.6,0.75,8.64,5.97,1.31,0.21,0.76,A2O,39.25817,116.95231,7996.749999999999,1070000.0,2880.0,4770.0,16600.0,19000.0,2880.0,0.0181,0.152,16.0,7.34,2.17,21900.0,140000.0,492.0,30000.0,34300.0,26.706156209366803,58.19324325396556,6.323035663120838,4.196429346653961,4.223628907413997,35949334.33488997,42293334.51163526,53399986.37990532,29241.0,33418.28,,,,,,,,,Current,16600.0,19000.0,1070000.0,2880.0
85,0.9430824,1062.5,300.98,24.16,142.6,6.46,149.24,6.07,24.69,0.4,44.76,8.6,2.86,0.22,0.47,A2O,39.32506,117.07973,7996.749999999999,617000.0,27000.0,23300.0,80900.0,92500.0,27000.0,0.168,0.292,75.2,38.0,1.98,92900.0,156000.0,481.0,127000.0,145000.0,71.75368345,76.15998290531786,21.89738390802945,11.310717261930137,3.276815337984885,173232221.36801556,203802613.37413597,257037218.98378065,140749.56,160856.64,CEPT,,,,,477408.98163218005,61180.00614535768,538588.9877775377,CEPT,127000.0,145000.0,477408.98163218005,61180.00614535768
90,3.9604972,7033.34,195.66,17.45,103.35,4.5,64.19,2.7,52.66,0.32,56.61,5.22,4.12,0.08,0.4,A2O,39.37269,117.0397,7996.749999999999,2220000.0,179000.0,70900.0,247000.0,282000.0,179000.0,0.178,0.634,48.9,48.1,1.02,283000.0,281000.0,1650.0,387000.0,442000.0,55.17161091,71.80230455279857,51.13898093161736,2.8883765066134366,1.0788562835416948,476427546.5821676,560502995.9790207,707186367.3533154,387244.2,442564.8,CEPT,HRAS,2035894.4483792805,71292.25933157562,2107186.707710856,1729357.1903311,209869.04394977164,1939226.2342808717,HRAS,387244.2,442564.8,2035894.4483792805,71292.25933157562
94,4.32228,7735.84,235.92,19.36,73.19,5.11,167.71,6.44,24.48,0.44,34.98,8.63,2.57,0.15,0.36,A2O,38.832931,117.064479,7860.05,2180000.0,193000.0,53300.0,186000.0,212000.0,193000.0,0.16,0.912,59.0,29.7,1.98,219000.0,801000.0,2290.0,299000.0,342000.0,75.51005306248402,67.9933651,22.70440189219904,7.253260244,3.32578913203736,552900299.0403937,650470940.0475221,820570747.6417667,449331.71,513521.96,CEPT,,,,,1729900.113758,286293.6476788432,2016193.7614368433,CEPT,299000.0,342000.0,1729900.113758,286293.6476788432
