Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,EUI (kWh/m3),Treatment process,Latitude,Longitude,annual_hdd,Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Methane generation (m3/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Current energy self-sufficiency,Current recovered heat waste,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a),COD_eff (mg/L),COD_removal (%),NHx_eff (mg/L),NHx_removal (%),C/N_ratio_HRAS,Sludge_VSS (g/a),Sludge_TSS (g/a),Sludge_COD (g/a),Electricity recovery potential (kWh/a)_HRAS,Heat recovery potential (kWh/a)_HRAS
20,3.3562468,2880.76,251.44,7.92,101.34,4.06,100.99,6.58,16.89,0.79,27.95,8.4,1.82,0.3,0.4,A2O,39.750652,116.19926,8213.33,1.87E+06,7.53E+04,5.92E+04,2.06E+05,2.35E+05,7.53E+04,1.45E-01,3.20E-01,6.29E+01,2.38E+01,2.65E+00,2.35E+05,3.75E+05,1.53E+03,3.22E+05,3.68E+05,65.21431992386184,74.06366532,14.699595986396673,12.96864424868755,4.436470225726788,512852529.1075615,603355916.5971313,761019790.0652071,416722.54,476254.33
22,12.6952676,8894.79,113.65,10.03,37.61,2.52,178.02,3.88,19.94,0.46,28.28,8.11,2.94,0.18,0.58,A2O,39.793176,116.189968,8213.33,1.02E+07,2.32E+05,8.07E+04,2.81E+05,3.21E+05,2.32E+05,4.92E-02,7.24E-01,2.84E+01,2.40E+01,1.18E+00,3.30E+05,2.50E+06,6.87E+03,4.52E+05,5.16E+05,44.49654966230928,60.84773456901955,19.31042601828741,3.157341934366061,2.304275919141817,762262831.3792765,896779801.6226783,1131895520.5377915,619808.29,708352.33
23,9.9463844,14938.46,273.01,12.2,185.67,2.33,119.33,3.04,37.41,0.23,45.01,6.37,5.35,0.09,0.72,A2O,40.4588,115.98456,9150.03,9.95E+06,4.35E+05,3.30E+05,1.15E+06,1.31E+06,4.35E+05,1.53E-01,3.31E-01,6.83E+01,3.83E+01,1.78E+00,1.28E+06,1.31E+06,4.74E+03,1.75E+06,2.00E+06,67.44762210303874,75.29481626935323,34.98118763320425,6.492414773578579,1.9281112696990668,1669045623.827617,1963583087,2476771263,1356241.23,1549989.97
29,5.43,3114,148.06,17.7,65.62,8.76,110.14,4.17,15.06,2.89,19.75,8.61,1.6,0.38,0.21,A2O,40.0587899,116.5764355,8070.8499999999985,1.59E+06,8.00E+04,5.60E+04,1.95E+05,2.22E+05,8.00E+04,1.65E-01,3.59E-01,3.70E+01,1.68E+01,2.20E+00,2.46E+05,6.61E+05,2.53E+03,3.37E+05,3.85E+05,46.94215076503957,68.29518386799975,14.027696947553283,6.854601941877276,3.3463904260654305,482429584.3176583,567564216.8,716179266.2254572,392168.57,448192.65
30,5.8614316,13576.53,126.69,22.24,30.3,4.75,33.74,4.2,19.03,0.95,40.05,12.07,3.31,0.11,0.76,A2O,40.120122,116.609856,8070.8499999999985,6.21E+06,3.49E+05,2.71E+04,9.44E+04,1.08E+05,1.08E+05,3.09E-02,1.00E+00,3.17E+01,3.40E+01,9.30E-01,1.23E+05,2.19E+05,2.24E+03,1.68E+05,1.92E+05,56.36442122,55.50996826,18.38965170224377,3.364941133768943,3.0650075449104737,328363251.4454513,386309707.5828839,487550866.9708649,266975.23,305114.55
31,5.8239284,6998,205.25,19.4,60.59,4.81,196.64,6.4,24.84,0.47,31.56,9.58,3.25,0.24,0.19,A2O,40.14796,116.55095,8213.33,1.56E+06,1.83E+05,5.89E+04,2.05E+05,2.34E+05,1.83E+05,2.23E-01,7.81E-01,5.13E+01,2.68E+01,1.91E+00,2.44E+05,1.27E+06,3.27E+03,3.34E+05,3.81E+05,70.98918498,65.41330817152871,23.41092922034136,5.753102977691792,3.0323095811274334,628071650.4,738907824.0551213,932231337.3,510475.31,583400.35
33,10.5704,10232.71,193.83,13.15,93.1,2.78,134.78,4.53,26.88,0.25,33.8,4.11,3.15,0.1,0.51,A2O,39.915848,116.728973,8070.8499999999985,7.49E+06,2.63E+05,1.73E+05,6.02E+05,6.88E+05,2.63E+05,1.12E-01,3.82E-01,4.85E+01,2.87E+01,1.69E+00,6.80E+05,1.57E+06,5.22E+03,9.31E+05,1.06E+06,55.19382543468262,71.52462186726379,25.371488098718018,5.612023442269274,2.175427204739776,1252457580.1911106,1473479506.107189,1859020964.8086176,1017970.82,1163395.22
34,2.2806724,129.91,72.04,18.7,36.66,5.18,45.47,10.89,14.67,2.27,20.02,11.25,1.93,0.47,0.27,A2O,39.83269,116.65978,8070.8499999999985,8.51E+05,3.34E+03,1.30E+04,4.53E+04,5.17E+04,3.34E+03,5.69E-02,6.45E-02,1.80E+01,1.70E+01,1.06E+00,5.78E+04,1.15E+05,9.01E+02,7.91E+04,9.04E+04,28.606852140417935,60.29032184839266,14.330951295267408,2.3111704480749307,1.9961586325302034,93400969.76710396,109883493.84365171,138740529.0991203,75972.14,86825.31
35,47.5668,94547,359.02,17.69,203.06,2,548.27,1,14.3,0.12,32.3,9.64,5.94,0.06,0.72,A2O,39.869156,116.699706,8070.8499999999985,4.77E+07,2.43E+06,1.73E+06,6.03E+06,6.89E+06,2.43E+06,1.69E-01,3.52E-01,8.98E+01,2.75E+01,3.27E+00,6.67E+06,2.88E+07,4.52E+04,9.13E+06,1.04E+07,80.69828969425078,77.52261999,10.69773678227792,25.190651872182386,7.543491799867159,10199750087.004477,11999705984.71115,15130272794.057823,8285100.86,9468686.7
38,19.4396172,13901.75,185.36,12.39,89.8,1.7,88.77,3.58,20.27,0.22,22.74,7.76,3.83,0.07,0.21,A2O,39.71863,115.96932,7792.129999999999,5.70E+06,3.45E+05,3.10E+05,1.08E+06,1.23E+06,3.45E+05,2.36E-01,2.79E-01,4.63E+01,1.93E+01,2.40E+00,1.21E+06,1.91E+06,8.61E+03,1.65E+06,1.89E+06,53.90699819477714,70.91767468991307,18.849418716858814,7.008294440755725,2.8598758934970774,2191800183.812188,2578588451.5437512,3253304797.2019167,1781458.85,2035952.97
40,2.2937044,1771,115.15,14.76,66.18,6.26,88.53,5.8,15.78,0.18,29.81,6.03,1.98,0.17,0.51,A2O,40.30054,116.68359,8716.09,1.62E+06,4.91E+04,2.49E+04,8.67E+04,9.90E+04,4.91E+04,8.12E-02,4.96E-01,2.88E+01,2.53E+01,1.14E+00,1.05E+05,2.24E+05,1.02E+03,1.44E+05,1.64E+05,39.665580184990894,65.55312185411127,15.069166446416972,4.504648628536296,2.632234525116833,156306463.27350816,183889956.79236254,232092484.6724372,127090.22,145245.96
47,4.5491092,4020.13,210.46,12.72,88.58,1.33,175.22,2.91,35.14,0.19,39.01,9.48,4.44,0.2,0.74,A2O,40.1655745,116.217768,8213.33,4.67E+06,1.05E+05,7.19E+04,2.50E+05,2.86E+05,1.05E+05,7.44E-02,3.67E-01,5.26E+01,3.32E+01,1.59E+00,2.78E+05,8.81E+05,2.45E+03,3.81E+05,4.36E+05,57.87466125825908,72.50087367753537,33.44981010260645,4.809874494574705,1.730194015473631,587821491.0704849,691554695.3770411,872464961.8052235,477748.17,545997.91
49,0.116202,83.7,169.3,35.27,57.11,8.56,74.15,7.06,21.4,1.19,25.01,11.52,2.7,0.32,0.4,A2O,39.915848,116.728973,8070.8499999999985,6.46E+04,2.15E+03,1.02E+03,3.56E+03,4.07E+03,2.15E+03,8.55E-02,5.29E-01,4.23E+01,2.13E+01,1.99E+00,4.58E+03,9.52E+03,4.96E+01,6.28E+03,7.17E+03,57.68737098610387,65.92594743880457,20.249962493312882,5.374007040594003,2.848764337472422,10894963.726879725,12817604.384564383,16173015.648686197,8856.09,10121.25
54,0.1728188,0.28,130.61,34.82,13.03,6.19,14.48,7.36,11.97,2.59,16.47,8.38,3.6,0.28,0.38,A2O,39.74288,116.34033,7792.129999999999,9.07E+04,6.94E+00,2.14E+02,7.45E+02,8.52E+02,6.94E+00,8.29E-03,8.15E-03,3.27E+01,1.40E+01,2.33E+00,1.56E+03,2.77E+03,6.23E+01,2.13E+03,2.43E+03,73.23002455899615,43.932298783403915,11.506098450412154,3.8755350842760827,6.364453152786384,6223912.163743063,7322249.604403602,9241282.226296762,5060.38,5783.29
55,1.4377916,706,183.53,13.76,83.61,6.49,94.11,4.81,21.1,0.09,30.13,8.8,3.09,0.22,0.42,A2O,39.653165,116.666085,7996.749999999999,8.37E+05,1.80E+04,2.01E+04,6.99E+04,7.99E+04,1.80E+04,1.03E-01,2.25E-01,4.59E+01,2.56E+01,1.79E+00,8.30E+04,1.50E+05,6.45E+02,1.14E+05,1.30E+05,53.53558202804243,70.83006482425628,19.700121789896414,6.634493886746857,2.717525434563515,160565356.3687432,188900419.3,238331402.77618003,130506.55,149150.34
56,35.37464,37962.98,300.51,19.87,116.31,0.92,122.67,2.34,30.83,0.26,41.67,7.85,4.25,0.1,0.44,A2O,39.0031999,117.71071,7835.249999999999,2.17E+07,9.46E+05,7.40E+05,2.57E+06,2.94E+06,9.46E+05,1.56E-01,3.22E-01,7.51E+01,3.54E+01,2.12E+00,2.84E+06,4.80E+06,1.70E+04,3.89E+06,4.45E+06,73.66305562257084,75.48731968234974,28.09432364192228,8.873423153,2.621990711057767,6413110739.006924,7544836163.537558,9515947130.722029,5210783.89,5955181.59
59,12.4166,21443.67,276.24,13.74,108.05,2.56,106.94,2.27,26.02,0.15,33.47,6.78,4.33,0.22,0.4,A2O,39.14588,117.42336,7835.249999999999,6.95E+06,5.34E+05,2.37E+05,8.26E+05,9.44E+05,5.34E+05,1.82E-01,5.66E-01,6.91E+01,2.84E+01,2.43E+00,9.27E+05,1.47E+06,5.75E+03,1.27E+06,1.45E+06,69.68763489,74.77279362364338,23.5677895,9.424329346936196,2.956901617032652,2077219269.8319428,2443787376.2728744,3082364854.966257,1687854.81,1928976.93
60,2.108288,1091.3,236.33,16.26,103.17,5.56,106.68,6.19,44.9,0.46,49.53,10.05,4.16,0.09,0.59,A2O,38.955388,117.715952,7835.249999999999,1.72E+06,2.72E+04,3.73E+04,1.30E+05,1.48E+05,2.72E+04,8.97E-02,1.83E-01,5.91E+01,4.21E+01,1.40E+00,1.50E+05,2.49E+05,9.75E+02,2.06E+05,2.35E+05,61.900625969586294,73.80754624060158,42.91535571103052,4.420143182560083,1.4423887427705975,306881673.18080944,361037262.5656582,455450837.0468352,249397.76,285026.01
61,1.1185076,405.53,250.01,42.36,113.79,8.78,103.33,6.73,29.4,3.42,35.36,13.21,2.28,0.46,0.16,A2O,38.827667,117.462164,7835.249999999999,2.49E+05,1.01E+04,2.13E+04,7.41E+04,8.46E+04,1.01E+04,3.25E-01,1.19E-01,6.25E+01,3.01E+01,2.08E+00,8.79E+04,1.28E+05,5.13E+02,1.20E+05,1.38E+05,64.28279675,74.28790978,27.245446585345004,7.328412975016989,2.359395965557406,171558801.14825356,201833883.7038277,254595720.53578016,139412.64,159328.73
63,3.9814932,3070.24,359.73,27.91,159.46,7.34,89.07,6.53,26.72,2.3,40.83,11.71,2.83,0.35,0.52,A2O,38.85103,117.45906,7835.249999999999,2.87E+06,7.65E+04,1.10E+05,3.82E+05,4.36E+05,7.65E+04,1.55E-01,1.75E-01,8.99E+01,3.47E+01,2.59E+00,4.39E+05,3.92E+05,1.76E+03,6.00E+05,6.86E+05,79.12111361,78.00541695016447,23.157091051885438,13.334240075279046,3.4167121175926503,869495321.9313358,1022935672.8603951,1289969339.7537117,706367.05,807276.62
66,7.94952,1547.7,205.78,24.85,89.49,7.75,195.73,7.71,21.32,1.5,30.66,8.6,2.84,0.16,0.33,A2O,39.0031999,117.71071,7835.249999999999,3.63E+06,3.86E+04,1.18E+05,4.10E+05,4.68E+05,3.86E+04,1.22E-01,8.24E-02,5.14E+01,2.61E+01,1.97E+00,4.91E+05,1.72E+06,4.46E+03,6.73E+05,7.69E+05,57.47232203574708,72.07098744496692,19.673587502215057,7.722385074038198,2.9212934361501808,998022375.6394463,1174143971.340525,1481255261.4623604,811112.23,926985.4
67,2.265396,4634,386.2,37.9,205.63,12.39,208.43,16.15,54.74,4.14,73.12,21.67,6.27,1.02,0.65,A2O,38.955388,117.715952,7835.249999999999,2.05E+06,1.16E+05,7.93E+04,2.76E+05,3.15E+05,1.16E+05,1.81E-01,3.66E-01,9.66E+01,6.22E+01,1.55E+00,3.22E+05,5.22E+05,1.30E+03,4.41E+05,5.03E+05,81.37670993,78.92886848053577,50.84378084166229,7.117682057613655,1.6005243626864467,533630051.7279549,627800060.8564177,791691929.4,433518.12,495449.29
70,10.819094,7859.9,173.84,18.76,73.32,3.2,95.57,4,20.89,0.3,27.81,7.38,2.87,0.09,0.37,A2O,39.290813,117.228324,8049.469999999999,5.56E+06,2.01E+05,1.37E+05,4.78E+05,5.47E+05,2.01E+05,1.18E-01,3.68E-01,4.35E+01,2.36E+01,1.84E+00,5.48E+05,1.14E+06,4.87E+03,7.50E+05,8.57E+05,51.741688732490005,70.23602811062472,19.59433239573718,6.202334151569272,2.6406456564831267,1142362959.963661,1343956423,1695712823.4789605,928545.83,1061195.24
72,10.092198,23910.17,345.34,19.42,111.84,3.22,287.17,3.1,23.97,0.15,33.26,6.88,4.35,0.09,0.39,A2O,39.22748,117.03658,7860.05,5.53E+06,5.98E+05,1.99E+05,6.91E+05,7.90E+05,5.98E+05,2.10E-01,7.57E-01,8.63E+01,2.83E+01,3.05E+00,7.80E+05,3.20E+06,6.68E+03,1.07E+06,1.22E+06,92.91328281294159,73.09512862,20.903958273130733,12.791162815474616,4.4447698181817215,1936676628.2461438,2278443092.054287,2873492961.776957,1573479.83,1798262.66
73,76.03448,87829.14,250.8,35.74,83.11,1.9,130.25,6.07,22.55,0.54,31.5,12.64,3.94,0.21,0.12,A2O,39.10498,117.07694,7860.05,1.30E+07,2.20E+06,1.12E+06,3.89E+06,4.45E+06,2.20E+06,4.02E-01,4.94E-01,6.27E+01,2.68E+01,2.34E+00,4.37E+06,1.09E+07,3.72E+04,5.98E+06,6.83E+06,75.24389769101691,69.99844589672371,20.558646314452083,8.830836743006284,3.6599636250429004,10669225846.34099,12552030407.45999,15833418399.27586,8670132.4,9908722.74
77,10.3001308,4750.2,134.16,9.6,42.6,3.53,136.01,5.66,14.56,0.67,19.08,8.8,2.96,0.22,0.17,A2O,38.961623,117.356792,7835.249999999999,2.44E+06,1.18E+05,7.29E+04,2.54E+05,2.90E+05,1.18E+05,1.46E-01,4.08E-01,3.35E+01,1.62E+01,2.07E+00,3.03E+05,1.55E+06,5.10E+03,4.15E+05,4.74E+05,51.41723614437031,61.67468981487008,13.763671179351542,5.469291350607544,3.735721049592291,720855790.2788985,848065635.6222336,1070229726.4236394,586041.07,669761.22
81,2.6859676,2314.7,337.62,34.81,101.74,5.11,95.04,4.89,10.85,0.31,13.42,4.79,1.36,0.17,0.47,A2O,39.9084385,117.2826404,8236.76,1.75E+06,6.07E+04,4.70E+04,1.64E+05,1.87E+05,6.07E+04,1.24E-01,3.24E-01,8.44E+01,1.14E+01,7.40E+00,1.89E+05,2.82E+05,1.21E+03,2.58E+05,2.95E+05,98.94538912952443,70.69326783676192,7.918422601433492,27.01914653056689,12.495593391493413,477178369.54086137,561386317.1068957,707897729.2461091,387633.73,443009.98
82,9.6450556,11194.61,138.19,12.91,62.44,0.57,116.47,0.59,8.12,0.26,13.07,5.63,2.99,0.14,0.39,A2O,39.43851,117.01725,7996.749999999999,5.24E+06,2.85E+05,1.08E+05,3.76E+05,4.30E+05,2.85E+05,1.20E-01,6.62E-01,3.45E+01,1.11E+01,3.11E+00,4.16E+05,1.24E+06,4.57E+03,5.70E+05,6.51E+05,45.71199681115624,66.92090830656615,7.174401538,11.645301259282379,6.371541454803486,782761157.4853996,920895479.3945878,1161943864,636262.3,727156.91
83,0.8047984,1763.41,242.84,30.56,87.1,4.78,116.97,5.96,29.48,1.28,38.69,8.28,3.63,0.29,0.28,A2O,39.17232,116.93172,7860.05,3.18E+05,4.41E+04,1.20E+04,4.18E+04,4.77E+04,4.41E+04,2.37E-01,9.24E-01,6.07E+01,3.29E+01,1.85E+00,4.84E+04,1.04E+05,3.81E+02,6.63E+04,7.58E+04,69.29448807,71.46496126105937,27.513898196140087,6.669273419,2.5185267307329315,113814209.53306103,133899070.03889534,168909468.76324648,92492.18,105705.35
84,1.020478,113.19,63.88,18.74,31.06,5.25,124.28,7.01,6.6,0.75,8.64,5.97,1.31,0.21,0.76,A2O,39.25817,116.95231,7996.749999999999,1.07E+06,2.88E+03,4.77E+03,1.66E+04,1.90E+04,2.88E+03,1.81E-02,1.52E-01,1.60E+01,7.34E+00,2.17E+00,2.19E+04,1.40E+05,4.92E+02,3.00E+04,3.43E+04,26.706156209366803,58.193243253965555,6.323035663120838,4.196429346653961,4.223628907413997,35949334.33488997,42293334.51163526,53399986.37990532,29241,33418.28
85,0.9430824,1062.5,300.98,24.16,142.6,6.46,149.24,6.07,24.69,0.4,44.76,8.6,2.86,0.22,0.47,A2O,39.32506,117.07973,7996.749999999999,6.17E+05,2.70E+04,2.33E+04,8.09E+04,9.25E+04,2.70E+04,1.68E-01,2.92E-01,7.52E+01,3.80E+01,1.98E+00,9.29E+04,1.56E+05,4.81E+02,1.27E+05,1.45E+05,71.75368345,76.15998290531786,21.89738390802945,11.310717261930137,3.276815337984885,173232221.36801556,203802613.37413594,257037218.98378065,140749.56,160856.64
90,3.9604972,7033.34,195.66,17.45,103.35,4.5,64.19,2.7,52.66,0.32,56.61,5.22,4.12,0.08,0.4,A2O,39.37269,117.0397,7996.749999999999,2.22E+06,1.79E+05,7.09E+04,2.47E+05,2.82E+05,1.79E+05,1.78E-01,6.34E-01,4.89E+01,4.81E+01,1.02E+00,2.83E+05,2.81E+05,1.65E+03,3.87E+05,4.42E+05,55.17161091,71.80230455279857,51.13898093161736,2.8883765066134366,1.0788562835416948,476427546.5821676,560502995.9790207,707186367.3533154,387244.2,442564.8
94,4.32228,7735.84,235.92,19.36,73.19,5.11,167.71,6.44,24.48,0.44,34.98,8.63,2.57,0.15,0.36,A2O,38.832931,117.064479,7860.05,2.18E+06,1.93E+05,5.33E+04,1.86E+05,2.12E+05,1.93E+05,1.60E-01,9.12E-01,5.90E+01,2.97E+01,1.98E+00,2.19E+05,8.01E+05,2.29E+03,2.99E+05,3.42E+05,75.51005306248402,67.9933651,22.704401892199037,7.253260244,3.3257891320373596,552900299.0403937,650470940.0475221,820570747.6417667,449331.71,513521.96
98,2.3338864,608.32,110.94,13.76,53.45,3.2,115.62,0.95,24.28,0.18,27.38,8.07,2.99,0.2,0.49,A2O,39.3809099,117.7475699,8049.469999999999,1.58E+06,1.56E+04,2.13E+04,7.39E+04,8.45E+04,1.56E+04,5.60E-02,1.84E-01,2.77E+01,2.33E+01,1.19E+00,8.62E+04,2.98E+05,1.10E+03,1.18E+05,1.35E+05,38.44121193844822,65.34954756,23.61054762785376,2.7572173482135187,1.6281372437587376,153705989.76731426,180830576.1968403,228247457.78766727,124984.74,142839.7
107,7.5267764,5684.4,240.29,18.15,191.97,16.59,197.77,14.36,31.69,1.94,36.8,17.05,3.15,0.74,0.27,A2O,38.40632,115.34814,7509.200000000001,2.83E+06,1.36E+05,2.39E+05,8.32E+05,9.51E+05,1.36E+05,3.26E-01,1.43E-01,6.01E+01,3.13E+01,1.92E+00,9.98E+05,1.65E+06,4.24E+03,1.37E+06,1.56E+06,62.735643305142915,73.89169616,29.652933752440045,6.428104284,2.1156639619167734,1110586679.141001,1306572563.695295,1648188265.523815,902522.13,1031453.86
111,2.3105012,596,132.79,13.99,66.55,4.51,83.3,5.86,25.13,0.55,30.88,9.04,1.87,0.13,0.32,A2O,38.83549,114.20005,8541.68,1.02E+06,1.62E+04,2.60E+04,9.04E+04,1.03E+05,1.62E+04,1.02E-01,1.57E-01,3.32E+01,2.62E+01,1.26E+00,1.06E+05,2.13E+05,1.01E+03,1.45E+05,1.66E+05,43.34502834909425,67.35821345802074,24.255058471057676,3.481661476093604,1.7870510764101295,184426756.00588527,216972654.1245709,273826771.5367992,149943.26,171363.73
112,17.2078148,8395.01,152.68,17.78,69.95,5.65,123.05,6.53,28.58,0.75,34.11,9.23,2.2,0.16,0.29,A2O,39.310476,115.90814,8188.24,6.93E+06,2.19E+05,2.01E+05,6.98E+05,7.97E+05,2.19E+05,1.28E-01,2.74E-01,3.82E+01,2.90E+01,1.32E+00,8.32E+05,2.34E+06,8.27E+03,1.14E+06,1.30E+06,47.41889797410205,68.94229894282024,27.508564068393333,3.748901090296238,1.723786739875136,1593364742.2751386,1874546756,2365494767.594393,1295307.96,1480351.95
114,3.56208,1310.28,210.73,17.56,78.78,5.83,106.51,7.19,17.94,0.3,25.22,8.42,2.82,0.18,0.28,A2O,38.970838,115.852556,7616.84,1.38E+06,3.17E+04,4.71E+04,1.64E+05,1.87E+05,3.17E+04,1.38E-01,1.70E-01,5.27E+01,2.14E+01,2.46E+00,1.94E+05,4.19E+05,1.65E+03,2.65E+05,3.03E+05,61.918585204194095,70.61709998,16.287508029949233,9.211214995,3.801599673218217,441405146.3344658,519300172.1581951,655108623.9938469,358727.24,409973.99
